ID,count,name,namespacename,namespaceid,mappingname,rank,matchCount,chatgpt_name,name_match_?,chatgpt_taxon_id,taxon_id_match_?,chatgpt_reasoning
25336,1,randia dumetorum,Catunaregam spinosa,136894,randia dumetorum,species,1,,,,,
25339,1,solanum anguivi,Solanum anguivi,329760,,species,1,,,,,
25342,1,tubocapsicum,Tubocapsicum,180579,,genus,1,,,,,
25345,1,aralia decaisneana,Aralia decaisneana,1603692,,species,1,,,,,
25347,1,phyllanthus emblica,Emblica officinalis,296036,phyllanthus emblica,species,1,,,,,
25349,1,streptosporangium viridogriseum,Kutzneria viridogrisea,47990,streptosporangium viridogriseum,species,1,,,,,
25352,1,crotalaria thebaica,Crotalaria thebaica,1978221,,species,1,,,,,
25354,1,lithospermum erythrorhizon,Lithospermum erythrorhizon,34254,,species,1,,,,,
25357,1,hibiscus moscheutos,Hibiscus moscheutos,241598,,species,1,,,,,
25359,1,serratia marcescens,Serratia marcescens,615,,species,1,,,,,
25361,1,streptococcus faecium,Enterococcus faecium,1352,streptococcus faecium,species,1,,,,,
25364,1,pseudomonas atlantica,Pseudoalteromonas atlantica,288,pseudomonas atlantica,species,1,,,,,
25369,1,simmondsia chinensis,Simmondsia chinensis,3999,,species,1,,,,,
25371,1,acacia senegal,Senegalia senegal,138043,acacia senegal,species,1,,,,,
25375,1,asclepias fruticosa,Gomphocarpus fruticosus,219240,asclepias fruticosa,species,1,,,,,
25377,1,blastocrithidia culicis,Strigomonas culicis,28005,blastocrithidia culicis,species,1,,,,,
25380,1,aspergillus giganteus,Aspergillus giganteus,5060,,species,1,,,,,
25383,1,bufo japonicus japonicus,Bufo japonicus japonicus,1175986,,subspecies,1,,,,,
25385,1,balaenoptera edeni,Balaenoptera edeni,9769,,species,1,,,,,
25389,1,porphyromonas gingivalis,Porphyromonas gingivalis,837,,species,1,,,,,
25396,1,dactylis glomerata,Dactylis glomerata,4509,,species,1,,,,,
25398,1,clostridium thermocellum,Acetivibrio thermocellus,1515,clostridium thermocellum,species,1,,,,,
25401,1,phlomis medicinalis,Phlomoides medicinalis,1138144,phlomis medicinalis,species,1,,,,,
25404,1,serratia plymuthica,Serratia plymuthica,82996,,species,1,,,,,
25406,1,fraxinus malacophylla,Fraxinus malacophylla,880141,,species,1,,,,,
25410,1,rana catesbeiana,Aquarana catesbeiana,8400,rana catesbeiana,species,1,,,,,
25415,1,klebsiella pneumoniae,Klebsiella pneumoniae,573,,species,1,,,,,
25417,1,aphanoascus fulvescens,Aphanoascus fulvescens,73174,,species,1,,,,,
25420,1,evolvulus pilosus,Evolvulus pilosus,1037433,,species,1,,,,,
25422,1,thladiantha dubia,Thladiantha dubia,210344,,species,1,,,,,
25425,1,erwinia carotovora,Pectobacterium carotovorum,554,erwinia carotovora,species,1,,,,,
25429,1,rhodobacter sphaeroides,Cereibacter sphaeroides,1063,rhodobacter sphaeroides,species,1,,,,,
25433,1,schizosaccharomyces japonicus,Schizosaccharomyces japonicus,4897,,species,1,,,,,
25435,1,streptomyces ribosidificus,Streptomyces ribosidificus,80859,,species,1,,,,,
25438,1,oreochromis mossambicus,Oreochromis mossambicus,8127,,species,1,,,,,
25441,1,mycobacterium malmoense,Mycobacterium malmoense,1780,,species,1,,,,,
25443,1,streptococcus rattus,Streptococcus ratti,1341,streptococcus rattus,species,1,,,,,
25447,1,microsporum gypseum,Nannizzia gypsea,63402,microsporum gypseum,species,1,,,,,
25449,1,streptococcus thermophilus,Streptococcus thermophilus,1308,,species,1,,,,,
25455,1,lilium longiflorum,Lilium longiflorum,4690,,species,1,,,,,
25457,1,mucor hiemalis,Mucor hiemalis,64493,,species,1,,,,,
25461,1,acropora formosa,Acropora formosa,126732,,species,1,,,,,
25463,1,sophora japonica,Styphnolobium japonicum,3897,sophora japonica,species,1,,,,,
25468,1,brassica campestris,Brassica rapa subsp. oleifera,145471,brassica campestris,subspecies,1,,,,,
25470,1,moringa oleifera,Moringa oleifera,3735,,species,1,,,,,
25474,1,paris axialis,Paris axialis,221258,,species,1,,,,,
25477,1,paris polyphylla,Paris polyphylla,49666,,species,1,,,,,
25481,1,hydrangea,Hydrangea,23109,,genus,1,,,,,
25484,1,leishmania adleri,Leishmania adleri,5674,,species,1,,,,,
25487,1,crotalaria juncea,Crotalaria juncea,3829,,species,1,,,,,
25489,1,leuconostoc mesenteroides,Leuconostoc mesenteroides,1245,,species,1,,,,,
25491,1,trachycarpus fortunei,Trachycarpus fortunei,14027,,species,1,,,,,
25495,1,erythrina caffra,Erythrina caffra,3842,,species,1,,,,,
25497,1,pseudomonas diminuta,Brevundimonas diminuta,293,pseudomonas diminuta,species,1,,,,,
25500,1,pereskia grandifolia,Pereskia grandifolia,307724,,species,1,,,,,
25503,1,hirudinaria manillensis,Hirudinaria manillensis,1348078,,species,1,,,,,
25506,1,smilax lebrunii,Smilax lebrunii,1045152,,species,1,,,,,
25508,1,aster tataricus,Aster tataricus,588669,,species,1,,,,,
25512,1,achyranthes aspera,Achyranthes aspera,240005,,species,1,,,,,
25514,1,aerococcus viridans,Aerococcus viridans,1377,,species,1,,,,,
25515,1,lysimachia sikokiana,Lysimachia sikokiana,1736094,,species,1,,,,,
25516,1,leptadenia reticulata,Leptadenia reticulata,492004,,species,1,,,,,
25519,1,prunus padus,Prunus padus,97307,,species,1,,,,,
25521,1,liriope spicata,Liriope spicata,100521,,species,1,,,,,
25523,1,furcellaria lumbricalis,Furcellaria lumbricalis,28020,,species,1,,,,,
25526,1,nocardia corynebacteroides,Rhodococcoides corynebacterioides,53972,nocardia corynebacteroides,species,1,,,,,
26526,1,laminaria japonica,Saccharina japonica,88149,laminaria japonica,species,1,,,,,
26530,1,mycobacterium avium,Mycobacterium avium,1764,,species,1,,,,,
26532,1,porphyra umbilicalis,Porphyra umbilicalis,2786,,species,1,,,,,
26534,1,mycobacterium peregrinum,Mycolicibacterium peregrinum,43304,mycobacterium peregrinum,species,1,,,,,
26538,1,beta vulgaris,Beta vulgaris,161934,,species,1,,,,,
26541,1,khaya ivorensis,Khaya ivorensis,486173,,species,1,,,,,
26547,1,chlorophytum,Chlorophytum,16046,,genus,1,,,,,
