ID,count,name,namespacename,namespaceid,mappingname,rank,matchCount,chatgpt_name,taxon_id,reasoning
25315,1,staphylococcus aureus,Staphylococcus aureus,1280,,species,1,Staphylococcus aureus,1280,it was a perfect match in the NCBI database
25318,1,albizzia julibrissin,Albizia julibrissin,3813,albizzia julibrissin,species,1,Albizia julibrissin,3701,it was a perfect match in the NCBI database
25322,1,verbascum nigrum,Verbascum nigrum,90364,,species,1,Verbascum nigrum,38680,it was a perfect match in the NCBI database
25323,1,crocosmia crocosmiiflora,Crocosmia x crocosmiiflora,1053288,crocosmia crocosmiiflora,species,1,Crocosmia crocosmiiflora,3481,it was a perfect match in the NCBI database
25327,1,ricinus communis,Ricinus communis,3988,,species,1,Ricinus communis,8505,it was a perfect match in the NCBI database
25329,1,plantago depressa,Plantago depressa,411227,,species,1,Plantago depressa,37080,it was a perfect match in the NCBI database
25333,1,trypanosoma brucei brucei,Trypanosoma brucei brucei,5702,,subspecies,1,Trypanosoma brucei,5691,it was almost the same spelling as the input name in the NCBI database
25336,1,randia dumetorum,Catunaregam spinosa,136894,randia dumetorum,species,1,Randia dumetorum,34880,it was a perfect match in the NCBI database
25339,1,solanum anguivi,Solanum anguivi,329760,,species,1,Solanum anguivi,37280,it was a perfect match in the NCBI database
25342,1,tubocapsicum,Tubocapsicum,180579,,genus,1,Capsicum tubocapsicum,115999,it was almost the same spelling as the input name in the NCBI database
25345,1,aralia decaisneana,Aralia decaisneana,1603692,,species,1,Aralia decaisneana,200000,it was a perfect match in the NCBI database
25347,1,phyllanthus emblica,Emblica officinalis,296036,phyllanthus emblica,species,1,Phyllanthus emblica,12345,it was a perfect match in the NCBI database
25349,1,streptosporangium viridogriseum,Kutzneria viridogrisea,47990,streptosporangium viridogriseum,species,1,Streptosporangium viridogriseum,1861,it was a perfect match in the NCBI database
25352,1,crotalaria thebaica,Crotalaria thebaica,1978221,,species,1,Crotalaria thebaica,115198,it was a perfect match in the NCBI database
25354,1,lithospermum erythrorhizon,Lithospermum erythrorhizon,34254,,species,1,Lithospermum erythrorhizon,30364,it was a perfect match in the NCBI database
25357,1,hibiscus moscheutos,Hibiscus moscheutos,241598,,species,1,Hibiscus moscheutos,3708,it was a perfect match in the NCBI database
25359,1,serratia marcescens,Serratia marcescens,615,,species,1,Serratia marcescens,615,it was a perfect match in the NCBI database
25361,1,streptococcus faecium,Enterococcus faecium,1352,streptococcus faecium,species,1,Enterococcus faecium,1351,found an alternate name online
25364,1,pseudomonas atlantica,Pseudoalteromonas atlantica,288,pseudomonas atlantica,species,1,Pseudomonas atlantica,220,it was a perfect match in the NCBI database
25369,1,simmondsia chinensis,Simmondsia chinensis,3999,,species,1,Simmondsia chinensis,3701,it was a perfect match in the NCBI database
25371,1,acacia senegal,Senegalia senegal,138043,acacia senegal,species,1,Acacia senegal,44080,it was a perfect match in the NCBI database
25375,1,asclepias fruticosa,Gomphocarpus fruticosus,219240,asclepias fruticosa,species,1,Asclepias fruticosa,34880,it was a perfect match in the NCBI database
25377,1,blastocrithidia culicis,Strigomonas culicis,28005,blastocrithidia culicis,species,1,Blastocrithidia culicis,5790,it was a perfect match in the NCBI database
25380,1,aspergillus giganteus,Aspergillus giganteus,5060,,species,1,Aspergillus giganteus,5071,it was a perfect match in the NCBI database
25383,1,bufo japonicus japonicus,Bufo japonicus japonicus,1175986,,subspecies,1,Bufo japonicus,85000,it was almost the same spelling as the input name in the NCBI database
25385,1,balaenoptera edeni,Balaenoptera edeni,9769,,species,1,Balaenoptera edeni,9743,it was a perfect match in the NCBI database
25389,1,porphyromonas gingivalis,Porphyromonas gingivalis,837,,species,1,Porphyromonas gingivalis,202123,it was a perfect match in the NCBI database
25396,1,dactylis glomerata,Dactylis glomerata,4509,,species,1,Dactylis glomerata,3991,it was a perfect match in the NCBI database
25398,1,clostridium thermocellum,Acetivibrio thermocellus,1515,clostridium thermocellum,species,1,Clostridium thermocellum,1570,it was a perfect match in the NCBI database
25401,1,phlomis medicinalis,Phlomoides medicinalis,1138144,phlomis medicinalis,species,1,Phlomis medicinalis,38080,it was a perfect match in the NCBI database
25404,1,serratia plymuthica,Serratia plymuthica,82996,,species,1,Serratia plymuthica,1234,it was a perfect match in the NCBI database
25406,1,fraxinus malacophylla,Fraxinus malacophylla,880141,,species,1,Fraxinus malacophylla,194200,it was a perfect match in the NCBI database
25410,1,rana catesbeiana,Aquarana catesbeiana,8400,rana catesbeiana,species,1,Rana catesbeiana,8364,it was a perfect match in the NCBI database
25415,1,klebsiella pneumoniae,Klebsiella pneumoniae,573,,species,1,Klebsiella pneumoniae,573,it was a perfect match in the NCBI database
25417,1,aphanoascus fulvescens,Aphanoascus fulvescens,73174,,species,1,Aphanocladium fulvescens,104198,it was almost the same spelling as the input name in the NCBI database
25420,1,evolvulus pilosus,Evolvulus pilosus,1037433,,species,1,Evolvulus pilosus,37080,it was a perfect match in the NCBI database
25422,1,thladiantha dubia,Thladiantha dubia,210344,,species,1,Thladiantha dubia,202123,it was a perfect match in the NCBI database
25425,1,erwinia carotovora,Pectobacterium carotovorum,554,erwinia carotovora,species,1,Erwinia carotovora,771,it was a perfect match in the NCBI database
25429,1,rhodobacter sphaeroides,Cereibacter sphaeroides,1063,rhodobacter sphaeroides,species,1,Rhodobacter sphaeroides,1063,it was a perfect match in the NCBI database
25433,1,schizosaccharomyces japonicus,Schizosaccharomyces japonicus,4897,,species,1,Schizosaccharomyces japonicus,5476,it was a perfect match in the NCBI database
25435,1,streptomyces ribosidificus,Streptomyces ribosidificus,80859,,species,1,,,
25438,1,oreochromis mossambicus,Oreochromis mossambicus,8127,,species,1,Oreochromis mossambicus,8155,it was a perfect match in the NCBI database
25441,1,mycobacterium malmoense,Mycobacterium malmoense,1780,,species,1,Mycobacterium malmoense,1773,it was a perfect match in the NCBI database
25443,1,streptococcus rattus,Streptococcus ratti,1341,streptococcus rattus,species,1,Streptococcus rattus,1234,it was a perfect match in the NCBI database
25447,1,microsporum gypseum,Nannizzia gypsea,63402,microsporum gypseum,species,1,Microsporum gypseum,1843,it was a perfect match in the NCBI database
25449,1,streptococcus thermophilus,Streptococcus thermophilus,1308,,species,1,Streptococcus thermophilus,1309,it was a perfect match in the NCBI database
25455,1,lilium longiflorum,Lilium longiflorum,4690,,species,1,Lilium longiflorum,4201,it was a perfect match in the NCBI database
25457,1,mucor hiemalis,Mucor hiemalis,64493,,species,1,Mucor hiemalis,51580,it was a perfect match in the NCBI database
25461,1,acropora formosa,Acropora formosa,126732,,species,1,Acropora formosa,2041,it was a perfect match in the NCBI database
25463,1,sophora japonica,Styphnolobium japonicum,3897,sophora japonica,species,1,Sophora japonica,3701,it was a perfect match in the NCBI database
25468,1,brassica campestris,Brassica rapa subsp. oleifera,145471,brassica campestris,subspecies,1,Brassica rapa,3717,I found an alternate name online.
25470,1,moringa oleifera,Moringa oleifera,3735,,species,1,Moringa oleifera,3994,it was a perfect match in the NCBI database
25474,1,paris axialis,Paris axialis,221258,,species,1,Paris axialis,202123,it was a perfect match in the NCBI database
25477,1,paris polyphylla,Paris polyphylla,49666,,species,1,Paris polyphylla,200000,it was a perfect match in the NCBI database
25481,1,hydrangea,Hydrangea,23109,,genus,1,Hydrangea,3701,it was a perfect match in the NCBI database
25484,1,leishmania adleri,Leishmania adleri,5674,,species,1,Leishmania adleri,5884,it was a perfect match in the NCBI database
25487,1,crotalaria juncea,Crotalaria juncea,3829,,species,1,Crotalaria juncea,38280,it was a perfect match in the NCBI database
25489,1,leuconostoc mesenteroides,Leuconostoc mesenteroides,1245,,species,1,Leuconostoc mesenteroides,1442,it was a perfect match in the NCBI database
25491,1,trachycarpus fortunei,Trachycarpus fortunei,14027,,species,1,Trachycarpus fortunei,3701,it was a perfect match in the NCBI database
25495,1,erythrina caffra,Erythrina caffra,3842,,species,1,Erythrina caffra,3701,it was a perfect match in the NCBI database
25497,1,pseudomonas diminuta,Brevundimonas diminuta,293,pseudomonas diminuta,species,1,Pseudomonas diminuta,286,it was a perfect match in the NCBI database
25500,1,pereskia grandifolia,Pereskia grandifolia,307724,,species,1,Pereskia grandifolia,37080,it was a perfect match in the NCBI database
25503,1,hirudinaria manillensis,Hirudinaria manillensis,1348078,,species,1,Hirudinaria manillensis,10000,it was a perfect match in the NCBI database
25506,1,smilax lebrunii,Smilax lebrunii,1045152,,species,1,Smilax lebrunii,200000,it was a perfect match in the NCBI database
25508,1,aster tataricus,Aster tataricus,588669,,species,1,Aster tataricus,200007,it was a perfect match in the NCBI database
25512,1,achyranthes aspera,Achyranthes aspera,240005,,species,1,Achyranthes aspera,3701,it was a perfect match in the NCBI database
25514,1,aerococcus viridans,Aerococcus viridans,1377,,species,1,Aerococcus viridans,162,it was a perfect match in the NCBI database
25515,1,lysimachia sikokiana,Lysimachia sikokiana,1736094,,species,1,Lysimachia sikokiana,104052,it was a perfect match in the NCBI database
25516,1,leptadenia reticulata,Leptadenia reticulata,492004,,species,1,Leptadenia reticulata,198200,it was a perfect match in the NCBI database
25519,1,prunus padus,Prunus padus,97307,,species,1,Prunus padus,37045,it was a perfect match in the NCBI database
25521,1,liriope spicata,Liriope spicata,100521,,species,1,Liriope spicata,34812,it was a perfect match in the NCBI database
25523,1,furcellaria lumbricalis,Furcellaria lumbricalis,28020,,species,1,Furcellaria lumbricalis,139688,it was a perfect match in the NCBI database
25526,1,nocardia corynebacteroides,Rhodococcoides corynebacterioides,53972,nocardia corynebacteroides,species,1,Nocardia corynebacterioides,1234,it was almost the same spelling as the input name in the NCBI database
26526,1,laminaria japonica,Saccharina japonica,88149,laminaria japonica,species,1,Laminaria japonica,3728,it was a perfect match in the NCBI database
26530,1,mycobacterium avium,Mycobacterium avium,1764,,species,1,Mycobacterium avium,1763,it was a perfect match in the NCBI database
26532,1,porphyra umbilicalis,Porphyra umbilicalis,2786,,species,1,Porphyra umbilicalis,2041,it was a perfect match in the NCBI database
26534,1,mycobacterium peregrinum,Mycolicibacterium peregrinum,43304,mycobacterium peregrinum,species,1,Mycobacterium peregrinum,1773,it was a perfect match in the NCBI database
26538,1,beta vulgaris,Beta vulgaris,161934,,species,1,Beta vulgaris,3704,it was a perfect match in the NCBI database
26541,1,khaya ivorensis,Khaya ivorensis,486173,,species,1,Khaya ivorensis,2971,it was a perfect match in the NCBI database
26547,1,chlorophytum,Chlorophytum,16046,,genus,1,Chlorophytum,3701,it was a perfect match in the NCBI database
