ID,count,name,namespacename,namespaceid,mappingname,rank,matchCount,chatgpt_name
26645,1,haemophilus influenzae,Haemophilus influenzae,727,,species,1,"Haemophilus influenzae, Haemophilus influenzae"
26647,1,withania coagulans,Withania coagulans,180581,,species,1,"Withania coagulans, Withania somnifera"
26649,1,swartzia madagascariensis,Bobgunnia madagascariensis,149635,swartzia madagascariensis,species,1,"
Swartzia madagascariensis, Swartzia madagascariensis"
26653,1,phodopus sungorus,Phodopus sungorus,10044,,species,1,"Phodopus sungorus, Phodopus sungorus"
26654,1,salmonella paratyphi,Salmonella enterica subsp. enterica serovar Paratyphi A,54388,salmonella paratyphi,no rank,1,"Salmonella paratyphi, Salmonella paratyphi"
26658,1,stenella coeruleoalba,Stenella coeruleoalba,9737,,species,1,"Stenella coeruleoalba, Stenella coeruleoalba"
26663,1,patiria pectinifera,Patiria pectinifera,7594,,species,1,"
Patiria pectinifera, Patiria miniata"
26666,1,acetobacter xylinum,Komagataeibacter xylinus,28448,acetobacter xylinum,species,1,"Acetobacter xylinum, Acetobacter xylinum"
26669,1,malva verticillata,Malva verticillata,446348,,species,1,"Malva verticillata, Malva verticillata"
26671,1,hunteria zeylanica,Hunteria zeylanica,1220079,,species,1,"Hunteria zeylanica, Hunteria zeylanica"
26673,1,kallstroemia pubescens,Kallstroemia pubescens,2603010,,species,1,"
Kallstroemia hirsuta"
25531,1,macaca irus,Macaca fascicularis,9541,macaca irus,species,1,"Macaca irus, Macaca fascicularis"
25534,1,trypanosoma,Trypanosoma,5690,,genus,1,"Trypanosoma, Trypanosoma brucei"
25536,1,pseudomonas vesicularis,Brevundimonas vesicularis,41276,pseudomonas vesicularis,species,1,"Pseudomonas vesicularis, Pseudomonas vesicularis"
25538,1,verticillium dahliae,Verticillium dahliae,27337,,species,1,"Verticillium dahliae, Verticillium dahliae"
25542,1,thalictrum,Thalictrum,46968,,genus,1,"Thalictrum, Thalictrum"
25544,1,bifidobacterium breve,Bifidobacterium breve,1685,,species,1,"Bifidobacterium breve, Bifidobacterium breve"
25546,1,listeria monocytogenes,Listeria monocytogenes,1639,,species,1,"Listeria monocytogenes, Listeria monocytogenes"
25549,1,astropecten latespinosus,Astropecten latespinosus,60559,,species,1,"
Astropecten latespinosus, Astropecten latespinosus"
25551,1,streptosporangium albidum,Kutzneria albida,43357,streptosporangium albidum,species,1,"
Streptosporangium albidum, Streptosporangium aureofaciens"
25554,1,epimedium pubescens,Epimedium pubescens,153729,,species,1,"Epimedium pubescens, Epimedium pubescens"
25559,1,andryala integrifolia,Andryala integrifolia,122529,,species,1,"Andryala integrifolia, Andryala integrifolia"
25561,1,olinia rochetiana,Olinia rochetiana,2984685,,species,1,"
Oliniaceae rochetiana"
25564,1,enterobacter agglomerans,Pantoea agglomerans,549,enterobacter agglomerans,species,1,Enterobacter cloacae
25568,1,thevetia,Thevetia,45319,,genus,1,"
Thevetia peruviana"
25569,1,salmonella enteritidis,Salmonella enterica subsp. enterica serovar Enteritidis,149539,salmonella enteritidis,no rank,1,Salmonella enterica
25572,1,corchorus olitorius,Corchorus olitorius,93759,,species,1,"Corchorus olitorius, Corchorus capsularis"
25574,1,salmonella minnesota,Salmonella enterica subsp. enterica serovar Minnesota,70803,salmonella minnesota,no rank,1,"Salmonella minnesota, Salmonella enterica"
25578,1,diospyros zombensis,Diospyros zombensis,1367330,,species,1,"Diospyros zombensis, Diospyros zambesiaca"
25580,1,spinacia oleracea,Spinacia oleracea,3562,,species,1,"Spinacia oleracea, Spinacia oleracea"
25586,1,acacia concinna,Acacia concinna,1524234,,species,1,"Acacia concinna, Acacia concinna"
25589,1,cucumis sativus,Cucumis sativus,3659,,species,1,"Cucumis sativus, Cucumis sativus"
25592,1,solanum acaule,Solanum acaule,103871,,species,1,"Solanum acaule, Solanum acoaule"
25596,1,schizolobium amazonicum,Schizolobium amazonicum,191950,,species,1,"
Schizolobium parahyba"
25601,1,hovenia dulcis,Hovenia dulcis,99292,,species,1,"Hovenia dulcis, Hovenia dulcis"
25603,1,allium sativum,Allium sativum,4682,,species,1,"Allium sativum, Allium sativum"
25608,1,solanum trilobatum,Solanum trilobatum,404689,,species,1,"
Solanum trilobatum, Solanum trilobatum"
25609,1,liriope platyphylla,Liriope muscari,39529,liriope platyphylla,species,1,"
Liriope muscari"
25612,1,erwinia chrysanthemi,Dickeya chrysanthemi,556,erwinia chrysanthemi,species,1,"Erwinia chrysanthemi, Dickeya chrysanthemi"
25617,1,astichopus,Astichopus,571819,,genus,1,"Astichopus, Astichopus japonicus"
25619,1,trichosanthes cucumeroides,Trichosanthes cucumeroides,685054,,species,1,Trichosanthes cucumerina
25621,1,scutellaria baicalensis,Scutellaria baicalensis,65409,,species,1,"Scutellaria baicalensis, Scutellaria baicalensis"
25624,1,lupinus arboreus,Lupinus arboreus,3872,,species,1,"Lupinus arboreus, Lupinus arboreus"
25626,1,asparagus sprengeri,Asparagus aethiopicus,693368,asparagus sprengeri,species,1,"Asparagus sprengeri, Asparagus aethiopicus"
25628,1,oreaster reticulatus,Oreaster reticulatus,46529,,species,1,"Oreaster reticulatus, Oreaster reticulatus"
25630,1,patrinia scabiosaefolia,Patrinia scabiosifolia,300888,patrinia scabiosaefolia,species,1,"
Patrinia scabiosaefolia, Patrinia scabiosaefolia"
25633,1,rhodobacter capsulatus,Rhodobacter capsulatus,1061,,species,1,"Rhodobacter capsulatus, Rhodobacter capsulatus"
25636,1,rhinopetalum stenantherum,Fritillaria stenanthera,83801,rhinopetalum stenantherum,species,1,"
rhinopetalum stenantherum, rhinopetalum stenantherum"
25640,1,hemicentrotus pulcherrimus,Hemicentrotus pulcherrimus,7650,,species,1,"Hemicentrotus pulcherrimus, Hemicentrotus pulcherrimus"
25643,1,mycobacterium bovis,Mycobacterium tuberculosis variant bovis,1765,mycobacterium bovis,biotype,1,"Mycobacterium bovis, Mycobacterium bovis"
25645,1,dioscorea zingiberensis,Dioscorea zingiberensis,325984,,species,1,"
Dioscorea zingiberensis, Dioscorea zingiberensis"
25646,1,ipomoea tuberosa,Distimake tuberosus,89668,ipomoea tuberosa,species,1,"
Ipomoea batatas"
25648,1,wisteria floribunda,Wisteria floribunda,3922,,species,1,"Wisteria floribunda, Wisteria floribunda"
25652,1,leishmania mexicana,Leishmania mexicana,5665,,species,1,"Leishmania mexicana, Leishmania mexicana"
25654,1,drosophila melanogaster,Drosophila melanogaster,7227,,species,1,"Drosophila melanogaster, Drosophila melanogaster"
25659,1,merremia mammosa,Decalobanthus mammosus,1729749,merremia mammosa,species,1,"
Merremia tuberosa"
25661,1,decaisnea fargesii,Decaisnea fargesii,41780,,species,1,"Decaisnea fargesii, Decaisnea fargesii"
25664,1,clinopodium chinense,Clinopodium chinense,516070,,species,1,"Clinopodium chinense, Clinopodium chinense"
25666,1,castanospermum australe,Castanospermum australe,24962,,species,1, Castanospermum australe
25669,1,pseudomonas mendocina,Ectopseudomonas mendocina,300,pseudomonas mendocina,species,1,"Pseudomonas mendocina, Pseudomonas mendocina"
25671,1,arthrobacter viscosus,Rhizobium viscosum,1673,arthrobacter viscosus,species,1,"Arthrobacter viscosus, Arthrobacter viscosus"
25674,1,polygonatum odoratum,Polygonatum odoratum,82207,,species,1,"Polygonatum odoratum, Polygonatum multiflorum"
25678,1,thermoplasma acidophilum,Thermoplasma acidophilum,2303,,species,1,"thermoplasma acidophilum, Thermoplasma acidophilum"
25681,1,urginea hesperia,Squilla hesperia,82069,urginea hesperia,species,1,"
Urginea maritima"
,,,,,,,,
