ID,count,name,namespacename,namespaceid,mappingname,rank,matchCount
25564,1,enterobacter agglomerans,Pantoea agglomerans,549,enterobacter agglomerans,species,1
25568,1,thevetia,Thevetia,45319,,genus,1
25569,1,salmonella enteritidis,Salmonella enterica subsp. enterica serovar Enteritidis,149539,salmonella enteritidis,no rank,1
25572,1,corchorus olitorius,Corchorus olitorius,93759,,species,1
25574,1,salmonella minnesota,Salmonella enterica subsp. enterica serovar Minnesota,70803,salmonella minnesota,no rank,1
25578,1,diospyros zombensis,Diospyros zombensis,1367330,,species,1
25580,1,spinacia oleracea,Spinacia oleracea,3562,,species,1
25586,1,acacia concinna,Acacia concinna,1524234,,species,1
25589,1,cucumis sativus,Cucumis sativus,3659,,species,1
25592,1,solanum acaule,Solanum acaule,103871,,species,1
25596,1,schizolobium amazonicum,Schizolobium amazonicum,191950,,species,1
25601,1,hovenia dulcis,Hovenia dulcis,99292,,species,1
25603,1,allium sativum,Allium sativum,4682,,species,1
25608,1,solanum trilobatum,Solanum trilobatum,404689,,species,1
25609,1,liriope platyphylla,Liriope muscari,39529,liriope platyphylla,species,1
25612,1,erwinia chrysanthemi,Dickeya chrysanthemi,556,erwinia chrysanthemi,species,1
25617,1,astichopus,Astichopus,571819,,genus,1
25619,1,trichosanthes cucumeroides,Trichosanthes cucumeroides,685054,,species,1
25621,1,scutellaria baicalensis,Scutellaria baicalensis,65409,,species,1
25624,1,lupinus arboreus,Lupinus arboreus,3872,,species,1
25626,1,asparagus sprengeri,Asparagus aethiopicus,693368,asparagus sprengeri,species,1
25628,1,oreaster reticulatus,Oreaster reticulatus,46529,,species,1
25630,1,patrinia scabiosaefolia,Patrinia scabiosifolia,300888,patrinia scabiosaefolia,species,1
25633,1,rhodobacter capsulatus,Rhodobacter capsulatus,1061,,species,1
25636,1,rhinopetalum stenantherum,Fritillaria stenanthera,83801,rhinopetalum stenantherum,species,1
25640,1,hemicentrotus pulcherrimus,Hemicentrotus pulcherrimus,7650,,species,1
25643,1,mycobacterium bovis,Mycobacterium tuberculosis variant bovis,1765,mycobacterium bovis,biotype,1
25645,1,dioscorea zingiberensis,Dioscorea zingiberensis,325984,,species,1
25646,1,ipomoea tuberosa,Distimake tuberosus,89668,ipomoea tuberosa,species,1
25648,1,wisteria floribunda,Wisteria floribunda,3922,,species,1
25652,1,leishmania mexicana,Leishmania mexicana,5665,,species,1
25654,1,drosophila melanogaster,Drosophila melanogaster,7227,,species,1
25659,1,merremia mammosa,Decalobanthus mammosus,1729749,merremia mammosa,species,1
25661,1,decaisnea fargesii,Decaisnea fargesii,41780,,species,1
25664,1,clinopodium chinense,Clinopodium chinense,516070,,species,1
25666,1,castanospermum australe,Castanospermum australe,24962,,species,1
25669,1,pseudomonas mendocina,Ectopseudomonas mendocina,300,pseudomonas mendocina,species,1
25671,1,arthrobacter viscosus,Rhizobium viscosum,1673,arthrobacter viscosus,species,1
25674,1,polygonatum odoratum,Polygonatum odoratum,82207,,species,1
25678,1,thermoplasma acidophilum,Thermoplasma acidophilum,2303,,species,1
25681,1,urginea hesperia,Squilla hesperia,82069,urginea hesperia,species,1
25685,1,fusobacterium necrophorum,Fusobacterium necrophorum,859,,species,1
25687,1,salmonella abortus equi,Salmonella enterica subsp. enterica serovar Abortusequi,607,salmonella abortus equi,no rank,1
25690,1,urospermum dalechampii,Urospermum dalechampii,122557,,species,1
25692,1,lonicera japonica,Lonicera japonica,105884,,species,1
25696,1,glomerella cingulata,Colletotrichum gloeosporioides,474922,glomerella cingulata,species,1
25698,1,phormia terranovae,Protophormia terraenovae,34676,phormia terranovae,species,1
25701,1,chrysanthemum morifolium,Chrysanthemum x morifolium,41568,chrysanthemum morifolium,species,1
25704,1,bupleurum longicaule,Bupleurum longicaule,359509,,species,1
25706,1,brucea javanica,Brucea javanica,210348,,species,1
25709,1,rosmarinus officinalis,Salvia rosmarinus,39367,rosmarinus officinalis,species,1
25711,1,selaginella kraussiana,Selaginella kraussiana,81964,,species,1
25716,1,axolotl,Ambystoma mexicanum,8296,axolotl,species,1
25717,1,fritillaria camtschatcensis,Fritillaria camschatcensis,61236,fritillaria camtschatcensis,species,1
25722,1,gentiana gelida,Gentiana gelida,553046,,species,1
25726,1,epilobium tetragonum,Epilobium tetragonum,644183,,species,1
25730,1,calendula arvensis,Calendula arvensis,99035,,species,1
25732,1,aster yunnanensis,Aster yunnanensis,1196504,,species,1
25736,1,pinellia ternata,Pinellia ternata,199225,,species,1
25741,1,magnaporthe grisea,Pyricularia grisea,148305,magnaporthe grisea,species,1
25744,1,euryale ferox,Euryale ferox,4414,,species,1
25746,1,agrobacterium tumefaciens,Agrobacterium tumefaciens,358,,species,1
25750,1,caesalpinia pulcherrima,Caesalpinia pulcherrima,53846,,species,1
25752,1,hyriopsis schlegelii,Sinohyriopsis schlegelii,2706150,hyriopsis schlegelii,species,1
25754,1,primula officinalis,Primula veris,170927,primula officinalis,species,1
25757,1,flammulina velutipes,Flammulina velutipes,38945,,species,1
25762,1,plantago camtschatica,Plantago camtschatica,223176,,species,1
25764,1,microsporum cookei,Paraphyton cookei,1592208,microsporum cookei,species,1
25767,1,nicotiana tabacum,Nicotiana tabacum,4097,,species,1
25769,1,penstemon acuminatus,Penstemon acuminatus,388112,,species,1
25772,1,calliphora vicina,Calliphora vicina,7373,,species,1
25776,1,asterias rubens,Asterias rubens,7604,,species,1
25779,1,sterculia,Sterculia,66667,,genus,1
25781,1,lactobacillus helveticus,Lactobacillus helveticus,1587,,species,1
25783,1,scutellaria repens,Scutellaria repens,2721171,,species,1
25785,1,ipomoea fistulosa,Ipomoea carnea subsp. fistulosa,693375,ipomoea fistulosa,subspecies,1
25788,1,aspergillus niger,Aspergillus niger,5061,,species,1
25790,1,leishmania enriettii,Leishmania enriettii,5663,,species,1
25796,1,microellobosporia grisea,Streptomyces pseudoechinosporeus,285444,microellobosporia grisea,species,1
25799,1,dipodascopsis uninucleata,Dipodascopsis uninucleata,27313,,species,1
25804,1,aspergillus awamori,Aspergillus awamori,105351,,species,1
25807,1,nicotiana benthamiana,Nicotiana benthamiana,4100,,species,1
25809,1,parmotrema cetratum,Parmotrema cetratum,235861,,species,1
25812,1,cynanchum caudatum,Cynanchum caudatum,228708,,species,1
25814,1,acacia leucophloea,Vachellia leucophloea,1217422,acacia leucophloea,species,1
25816,1,monoclea gottschei,Monoclea gottschei,56937,,species,1
25819,1,crotalaria mucronata,Crotalaria pallida,3830,crotalaria mucronata,species,1
25820,1,gracilaria eucheumoides,Hydropuntia eucheumatoides,172970,gracilaria eucheumoides,species,1
25825,1,blattella germanica,Blattella germanica,6973,,species,1
25829,1,lupinus angustifolius,Lupinus angustifolius,3871,,species,1
25832,1,pythium ultimum,Globisporangium ultimum,2052682,pythium ultimum,species,1
25835,1,mycobacterium fortuitum,Mycolicibacterium fortuitum,1766,mycobacterium fortuitum,species,1
25837,1,achyranthes bidentata,Achyranthes bidentata,384659,,species,1
25840,1,tribolodon hakonensis,Pseudaspius hakonensis,3004147,tribolodon hakonensis,species,1
25843,1,oncorhynchus nerka adonis,Oncorhynchus nerka adonis,8024,,subspecies,1
25847,1,staphylococcus epidermidis,Staphylococcus epidermidis,1282,,species,1
25851,1,taenia crassiceps,Taenia crassiceps,6207,,species,1
25853,1,rhizobium phaseoli,Rhizobium phaseoli,396,,species,1
25854,1,salmonella essen,Salmonella enterica subsp. enterica serovar Essen,29477,salmonella essen,no rank,1
25858,1,rhizobium lupini,Bradyrhizobium lupini,136996,rhizobium lupini,species,1
25862,1,bupleurum rotundifolium,Bupleurum rotundifolium,90446,,species,1
25864,1,breynia officinalis,Breynia officinalis,886290,,species,1
25866,1,leishmania amazonensis,Leishmania amazonensis,5659,,species,1
26676,1,artemisia vulgaris,Artemisia vulgaris,4220,,species,1
26679,1,albizzia lucida,Lucida,509419,albizzia lucida,genus,1
26681,1,bacteroides symbiosus,[Clostridium] symbiosum,1512,bacteroides symbiosus,species,1
26684,1,rapanea melanophloeos,Myrsine melanophloeos,459861,rapanea melanophloeos,species,1
26685,1,dioscorea gracillima,Dioscorea gracillima,64699,,species,1
26686,1,microsporum racemosum,Nannizzia lorica,2973799,microsporum racemosum,species,1
26690,1,cnidium officinale,Conioselinum officinale,54711,cnidium officinale,species,1
26692,1,hedyosmum bonplandianum,Hedyosmum bonplandianum,88917,,species,1
26695,1,trypanosoma dionisii,Trypanosoma dionisii,78083,,species,1
26696,1,vipera russelli russelli,Daboia russelii russelii,31159,vipera russelli russelli,subspecies,1
26699,1,microciona prolifera,Clathria prolifera,1190602,microciona prolifera,species,1
26704,1,calendula officinalis,Calendula officinalis,41496,,species,1
26708,1,rhodopseudomonas,Rhodopseudomonas,1073,,genus,1
26712,1,rhodopseudomonas sphaeroides,Cereibacter sphaeroides,1063,rhodopseudomonas sphaeroides,species,1
26715,1,nicotiana alata,Nicotiana alata,4087,,species,1
26717,1,tetragonia tetragonoides,Tetragonia tetragonoides,45318,,species,1
26719,1,halobacterium saccharovorum,Halorubrum saccharovorum,2248,halobacterium saccharovorum,species,1
26723,1,actinobacillus pleuropneumoniae,Actinobacillus pleuropneumoniae,715,,species,1
26726,1,diuranthera,Diuranthera,796793,,genus,1
26728,1,halococcus saccharolyticus,Halococcus saccharolyticus,62319,,species,1
26729,1,salmonella kentucky,Salmonella enterica subsp. enterica serovar Kentucky,192955,salmonella kentucky,no rank,1
26734,1,myagropsis myagroides,Myagropsis myagroides,74101,,species,1
26737,1,bacteroides fragilis,Bacteroides fragilis,817,,species,1
26738,1,acokanthera spectabilis,Acokanthera oblongifolia,52820,acokanthera spectabilis,species,1
26741,1,dunalia australis,Eriolarynx australis,362352,dunalia australis,species,1
26744,1,micromonospora carbonacea,Micromonospora carbonacea,47853,,species,1
26747,1,microsporum canis,Microsporum canis,63405,,species,1
26750,1,hedera pastuchovii,Hedera pastuchovii,85359,,species,1
26753,1,boswellia serrata,Boswellia serrata,613112,,species,1
26755,1,abelmoschus manihot,Abelmoschus manihot,183220,,species,1
26757,1,viburnum lantana,Viburnum lantana,237945,,species,1
26759,1,holothuria pervicax,Holothuria pervicax,2080420,,species,1
25870,1,xanthomonas maltophilia,Stenotrophomonas maltophilia,40324,xanthomonas maltophilia,species,1
25872,1,trypanosoma congolense,Trypanosoma congolense,5692,,species,1
25875,1,cetraria islandica,Cetraria islandica,78064,,species,1
25877,1,clematis stans,Clematis stans,231660,,species,1
25881,1,desulfurolobus ambivalens,Acidianus ambivalens,2283,desulfurolobus ambivalens,species,1
25886,1,cleistopholis glauca,Cleistopholis glauca,306911,,species,1
25889,1,penaeus japonicus,Penaeus japonicus,27405,,species,1
25891,1,lonicera gracilipes,Lonicera gracilipes,486668,,species,1
25894,1,asparagus cochinchinensis,Asparagus cochinchinensis,100514,,species,1
25897,1,sorghum bicolor,Sorghum bicolor,4558,,species,1
25899,1,coturnix coturnix japonica,Coturnix japonica,93934,coturnix coturnix japonica,species,1
25903,1,limulus polyphemus,Limulus polyphemus,6850,,species,1
25904,1,flavobacterium meningosepticum,Elizabethkingia meningoseptica,238,flavobacterium meningosepticum,species,1
25905,1,gracilaria dura,Gracilaria dura,301533,,species,1
25908,1,scardinius erythrophthalmus,Scardinius erythrophthalmus,58319,,species,1
25912,1,vigna unguiculata,Vigna unguiculata,3917,,species,1
25914,1,streptomyces violaceus,Streptomyces violaceus,1936,,species,1
25917,1,tilia americana,Tilia americana,66669,,species,1
25920,1,actinidia kolomikta,Actinidia kolomikta,165710,,species,1
25923,1,pterocephalus hookeri,Bassecoia hookeri,626364,pterocephalus hookeri,species,1
25925,1,diuranthera major,Diuranthera major,796794,,species,1
25928,1,agaricus blazei,Agaricus blazei,79798,,species,1
25931,1,bacillus alvei,Paenibacillus alvei,44250,bacillus alvei,species,1
25935,1,rhizopus stolonifer,Rhizopus stolonifer,4846,,species,1
25938,1,cassia grandis,Cassia grandis,162709,,species,1
25939,1,encephalartos friderici guilielmi,Encephalartos friderici-guilielmi,466905,encephalartos friderici guilielmi,species,1
25943,1,agathis atropurpurea,Agathis atropurpurea,192951,,species,1
25948,1,vernonia amygdalina,Gymnanthemum amygdalinum,82755,vernonia amygdalina,species,1
25952,1,gracilaria longa,Gracilaria longa,301532,,species,1
25954,1,tetrahymena pyriformis,Tetrahymena pyriformis,5908,,species,1
25957,1,eriobotrya japonica,Eriobotrya japonica,32224,,species,1
25959,1,pseudomonas gladioli,Burkholderia gladioli,28095,pseudomonas gladioli,species,1
25962,1,ratibida latipalearis,Ratibida latipalearis,53729,,species,1
25965,1,chionodraco myersi,Chionodraco myersi,70433,,species,1
25967,1,hordeum vulgare var. nudum,Hordeum vulgare subsp. vulgare,112509,hordeum vulgare var. nudum,subspecies,1
25969,1,hacquetia epipactis,Sanicula epipactis,52473,hacquetia epipactis,species,1
25971,1,bradyrhizobium japonicum,Bradyrhizobium japonicum,375,,species,1
25975,1,schizophyllum commune,Schizophyllum commune,5334,,species,1
25977,1,panax vietnamensis,Panax vietnamensis,106132,,species,1
25979,1,xestospongia vanilla,Vanilla,51238,xestospongia vanilla,genus,1
25983,1,thermotoga maritima,Thermotoga maritima,2336,,species,1
25985,1,halobacterium volcanii,Haloferax volcanii,2246,halobacterium volcanii,species,1
25988,1,astragalus spinosus,Astragalus spinosus,1423378,,species,1
25993,1,psydrax livida,Psydrax lividus,258755,psydrax livida,species,1
25997,1,oryzias latipes,Oryzias latipes,8090,,species,1
26001,1,penstemon newberryi,Penstemon newberryi,230066,,species,1
26003,1,marsdenia koi,Cyprinus carpio,7962,marsdenia koi,species,1
26006,1,aeromonas hydrophila,Aeromonas hydrophila,644,,species,1
26010,1,absidia corymbifera,Lichtheimia corymbifera,42458,absidia corymbifera,species,1
26012,1,herniaria glabra,Herniaria glabra,115624,,species,1
26014,1,digitalis purpurea,Digitalis purpurea,4164,,species,1
26016,1,leishmania braziliensis,Leishmania braziliensis,5660,,species,1
26020,1,patinopecten yessoensis,Mizuhopecten yessoensis,6573,patinopecten yessoensis,species,1
26027,1,cucurbita maxima,Cucurbita maxima,3661,,species,1
26029,1,cynanchum paniculatum,Vincetoxicum bungei,228726,cynanchum paniculatum,species,1
26031,1,thermococcus litoralis,Thermococcus litoralis,2265,,species,1
26034,1,ilex crenata,Ilex crenata,4296,,species,1
26035,1,malacosoma disstria,Malacosoma disstria,40071,,species,1
26038,1,mycobacterium ulcerans,Mycobacterium ulcerans,1809,,species,1
26044,1,sticta,Sticta,137528,,genus,1
26046,1,salmonella anatum,Salmonella enterica subsp. enterica serovar Anatum,58712,salmonella anatum,no rank,1
26048,1,pichia fermentans,Pichia fermentans,53655,,species,1
26050,1,trillium kamtschaticum,Trillium camschatcense,49675,trillium kamtschaticum,species,1
26052,1,polygala tenuifolia,Polygala tenuifolia,355332,,species,1
26054,1,eustoma grandiflorum,Eustoma grandiflorum,52518,,species,1
26056,1,salmonella bredeney,Salmonella enterica subsp. enterica serovar Bredeney,134047,salmonella bredeney,no rank,1
26061,1,sporothrix schenckii,Sporothrix schenckii,29908,,species,1
26064,1,cassia surattensis,Senna surattensis,499995,cassia surattensis,species,1
26067,1,asparagus plumosus,Asparagus setaceus,272863,asparagus plumosus,species,1
26069,1,platycodon grandiflorum,Platycodon grandiflorus,94286,platycodon grandiflorum,species,1
26073,1,erica cinerea,Erica cinerea,270432,,species,1
26076,1,ranunculus biternatus,Ranunculus biternatus,286862,,species,1
26078,1,mycobacterium gordonae,Mycobacterium gordonae,1778,,species,1
26080,1,astragalus lentiginosus,Astragalus lentiginosus,20416,,species,1
26084,1,solanum aculeatissimum,Solanum aculeatissimum,267265,,species,1
26086,1,ecklonia kurome,Ecklonia cava subsp. kurome,2748578,ecklonia kurome,subspecies,1
26089,1,polygonatum stenophyllum,Polygonatum stenophyllum,261425,,species,1
26093,1,aphanoascus verrucosus,Aphanoascus verrucosus,180776,,species,1
26097,1,notophthalmus viridescens,Notophthalmus viridescens,8316,,species,1
26100,1,iphiona aucheri,Iphiona aucheri,557666,,species,1
26102,1,styrax officinalis,Styrax officinalis,153544,,species,1
26105,1,thermoanaerobacter thermohydrosulfuricus,Thermoanaerobacter thermohydrosulfuricus,1516,,species,1
26108,1,bacopa monniera,Bacopa monnieri,263974,bacopa monniera,species,1
26111,1,anthocidaris crassispina,Heliocidaris crassispina,1043166,anthocidaris crassispina,species,1
