ID,count,name,namespacename,namespaceid,mappingname,rank,matchCount,chatgpt_name,name_match_?,chatgpt_taxon_id,taxon_id_match_?,chatgpt_taxon_id_species_name,ncbi_taxon_id,ncbi_taxon_id_match_?,chatgpt_reasoning
25468,1,brassica campestris,Brassica rapa subsp. oleifera,145471,brassica campestris,subspecies,1,,,,,,,,
25497,1,pseudomonas diminuta,Brevundimonas diminuta,293,pseudomonas diminuta,species,1,,,,,,,,
25526,1,nocardia corynebacteroides,Rhodococcoides corynebacterioides,53972,nocardia corynebacteroides,species,1,,,,,,,,
26526,1,laminaria japonica,Saccharina japonica,88149,laminaria japonica,species,1,,,,,,,,
26534,1,mycobacterium peregrinum,Mycolicibacterium peregrinum,43304,mycobacterium peregrinum,species,1,,,,,,,,
26554,1,lophopetalum toxicum,Toxicum,1272110,lophopetalum toxicum,genus,1,,,,,,,,
26558,1,ganoderma tsugae,Polyporus tsugae,2075311,ganoderma tsugae,species,1,,,,,,,,
26562,1,nolina recurvata,Beaucarnea recurvata,39519,nolina recurvata,species,1,,,,,,,,
26585,1,spirometra erinacei,Spirometra erinaceieuropaei,99802,spirometra erinacei,species,1,,,,,,,,
26593,1,osmaronia cerasiformis,Oemleria cerasiformis,32237,osmaronia cerasiformis,species,1,,,,,,,,
26604,1,cimicifuga simplex,Actaea simplex,64042,cimicifuga simplex,species,1,,,,,,,,
26620,1,salmonella bareilly,Salmonella enterica subsp. enterica serovar Bareilly,58096,salmonella bareilly,no rank,1,,,,,,,,
26623,1,bacteroides cellulosolvens,Pseudobacteroides cellulosolvens,35825,bacteroides cellulosolvens,species,1,,,,,,,,
26627,1,streptococcus hemolyticus,Streptococcus pyogenes,1314,streptococcus hemolyticus,species,1,,,,,,,,
26631,1,eupenicillium,Penicillium,5073,eupenicillium,genus,1,,,,,,,,
26649,1,swartzia madagascariensis,Bobgunnia madagascariensis,149635,swartzia madagascariensis,species,1,,,,,,,,
26654,1,salmonella paratyphi,Salmonella enterica subsp. enterica serovar Paratyphi A,54388,salmonella paratyphi,no rank,1,,,,,,,,
26666,1,acetobacter xylinum,Komagataeibacter xylinus,28448,acetobacter xylinum,species,1,,,,,,,,
25531,1,macaca irus,Macaca fascicularis,9541,macaca irus,species,1,,,,,,,,
25536,1,pseudomonas vesicularis,Brevundimonas vesicularis,41276,pseudomonas vesicularis,species,1,,,,,,,,
25551,1,streptosporangium albidum,Kutzneria albida,43357,streptosporangium albidum,species,1,,,,,,,,
25564,1,enterobacter agglomerans,Pantoea agglomerans,549,enterobacter agglomerans,species,1,,,,,,,,
25569,1,salmonella enteritidis,Salmonella enterica subsp. enterica serovar Enteritidis,149539,salmonella enteritidis,no rank,1,,,,,,,,
25574,1,salmonella minnesota,Salmonella enterica subsp. enterica serovar Minnesota,70803,salmonella minnesota,no rank,1,,,,,,,,
25609,1,liriope platyphylla,Liriope muscari,39529,liriope platyphylla,species,1,,,,,,,,
25612,1,erwinia chrysanthemi,Dickeya chrysanthemi,556,erwinia chrysanthemi,species,1,,,,,,,,
25626,1,asparagus sprengeri,Asparagus aethiopicus,693368,asparagus sprengeri,species,1,,,,,,,,
25630,1,patrinia scabiosaefolia,Patrinia scabiosifolia,300888,patrinia scabiosaefolia,species,1,,,,,,,,
25636,1,rhinopetalum stenantherum,Fritillaria stenanthera,83801,rhinopetalum stenantherum,species,1,,,,,,,,
25643,1,mycobacterium bovis,Mycobacterium tuberculosis variant bovis,1765,mycobacterium bovis,biotype,1,,,,,,,,
25646,1,ipomoea tuberosa,Distimake tuberosus,89668,ipomoea tuberosa,species,1,,,,,,,,
25653,1,coriolus versicolor,Trametes versicolor,5325,coriolus versicolor,species,1,,,,,,,,
25659,1,merremia mammosa,Decalobanthus mammosus,1729749,merremia mammosa,species,1,,,,,,,,
25669,1,pseudomonas mendocina,Ectopseudomonas mendocina,300,pseudomonas mendocina,species,1,,,,,,,,
25671,1,arthrobacter viscosus,Rhizobium viscosum,1673,arthrobacter viscosus,species,1,,,,,,,,
25681,1,urginea hesperia,Squilla hesperia,82069,urginea hesperia,species,1,,,,,,,,
25687,1,salmonella abortus equi,Salmonella enterica subsp. enterica serovar Abortusequi,607,salmonella abortus equi,no rank,1,,,,,,,,
25696,1,glomerella cingulata,Colletotrichum gloeosporioides,474922,glomerella cingulata,species,1,,,,,,,,
25698,1,phormia terranovae,Protophormia terraenovae,34676,phormia terranovae,species,1,,,,,,,,
25701,1,chrysanthemum morifolium,Chrysanthemum x morifolium,41568,chrysanthemum morifolium,species,1,,,,,,,,
25709,1,rosmarinus officinalis,Salvia rosmarinus,39367,rosmarinus officinalis,species,1,,,,,,,,
25716,1,axolotl,Ambystoma mexicanum,8296,axolotl,species,1,,,,,,,,
25717,1,fritillaria camtschatcensis,Fritillaria camschatcensis,61236,fritillaria camtschatcensis,species,1,,,,,,,,
25741,1,magnaporthe grisea,Pyricularia grisea,148305,magnaporthe grisea,species,1,,,,,,,,
25752,1,hyriopsis schlegelii,Sinohyriopsis schlegelii,2706150,hyriopsis schlegelii,species,1,,,,,,,,
25754,1,primula officinalis,Primula veris,170927,primula officinalis,species,1,,,,,,,,
25764,1,microsporum cookei,Paraphyton cookei,1592208,microsporum cookei,species,1,,,,,,,,
25785,1,ipomoea fistulosa,Ipomoea carnea subsp. fistulosa,693375,ipomoea fistulosa,subspecies,1,,,,,,,,
25796,1,microellobosporia grisea,Streptomyces pseudoechinosporeus,285444,microellobosporia grisea,species,1,,,,,,,,
25814,1,acacia leucophloea,Vachellia leucophloea,1217422,acacia leucophloea,species,1,,,,,,,,
25819,1,crotalaria mucronata,Crotalaria pallida,3830,crotalaria mucronata,species,1,,,,,,,,
25820,1,gracilaria eucheumoides,Hydropuntia eucheumatoides,172970,gracilaria eucheumoides,species,1,,,,,,,,
25832,1,pythium ultimum,Globisporangium ultimum,2052682,pythium ultimum,species,1,,,,,,,,
25835,1,mycobacterium fortuitum,Mycolicibacterium fortuitum,1766,mycobacterium fortuitum,species,1,,,,,,,,
25840,1,tribolodon hakonensis,Pseudaspius hakonensis,3004147,tribolodon hakonensis,species,1,,,,,,,,
25854,1,salmonella essen,Salmonella enterica subsp. enterica serovar Essen,29477,salmonella essen,no rank,1,,,,,,,,
25858,1,rhizobium lupini,Bradyrhizobium lupini,136996,rhizobium lupini,species,1,,,,,,,,
26679,1,albizzia lucida,Lucida,509419,albizzia lucida,genus,1,,,,,,,,
26681,1,bacteroides symbiosus,[Clostridium] symbiosum,1512,bacteroides symbiosus,species,1,,,,,,,,
26684,1,rapanea melanophloeos,Myrsine melanophloeos,459861,rapanea melanophloeos,species,1,,,,,,,,
26686,1,microsporum racemosum,Nannizzia lorica,2973799,microsporum racemosum,species,1,,,,,,,,
26690,1,cnidium officinale,Conioselinum officinale,54711,cnidium officinale,species,1,,,,,,,,
26696,1,vipera russelli russelli,Daboia russelii russelii,31159,vipera russelli russelli,subspecies,1,,,,,,,,
26699,1,microciona prolifera,Clathria prolifera,1190602,microciona prolifera,species,1,,,,,,,,
26712,1,rhodopseudomonas sphaeroides,Cereibacter sphaeroides,1063,rhodopseudomonas sphaeroides,species,1,,,,,,,,
26719,1,halobacterium saccharovorum,Halorubrum saccharovorum,2248,halobacterium saccharovorum,species,1,,,,,,,,
26729,1,salmonella kentucky,Salmonella enterica subsp. enterica serovar Kentucky,192955,salmonella kentucky,no rank,1,,,,,,,,
26738,1,acokanthera spectabilis,Acokanthera oblongifolia,52820,acokanthera spectabilis,species,1,,,,,,,,
26741,1,dunalia australis,Eriolarynx australis,362352,dunalia australis,species,1,,,,,,,,
25870,1,xanthomonas maltophilia,Stenotrophomonas maltophilia,40324,xanthomonas maltophilia,species,1,,,,,,,,
25881,1,desulfurolobus ambivalens,Acidianus ambivalens,2283,desulfurolobus ambivalens,species,1,,,,,,,,
25899,1,coturnix coturnix japonica,Coturnix japonica,93934,coturnix coturnix japonica,species,1,,,,,,,,
25904,1,flavobacterium meningosepticum,Elizabethkingia meningoseptica,238,flavobacterium meningosepticum,species,1,,,,,,,,
25923,1,pterocephalus hookeri,Bassecoia hookeri,626364,pterocephalus hookeri,species,1,,,,,,,,
25931,1,bacillus alvei,Paenibacillus alvei,44250,bacillus alvei,species,1,,,,,,,,
25939,1,encephalartos friderici guilielmi,Encephalartos friderici-guilielmi,466905,encephalartos friderici guilielmi,species,1,,,,,,,,
25948,1,vernonia amygdalina,Gymnanthemum amygdalinum,82755,vernonia amygdalina,species,1,,,,,,,,
25959,1,pseudomonas gladioli,Burkholderia gladioli,28095,pseudomonas gladioli,species,1,,,,,,,,
25967,1,hordeum vulgare var. nudum,Hordeum vulgare subsp. vulgare,112509,hordeum vulgare var. nudum,subspecies,1,,,,,,,,
25969,1,hacquetia epipactis,Sanicula epipactis,52473,hacquetia epipactis,species,1,,,,,,,,
25979,1,xestospongia vanilla,Vanilla,51238,xestospongia vanilla,genus,1,,,,,,,,
25985,1,halobacterium volcanii,Haloferax volcanii,2246,halobacterium volcanii,species,1,,,,,,,,
25993,1,psydrax livida,Psydrax lividus,258755,psydrax livida,species,1,,,,,,,,
26003,1,marsdenia koi,Cyprinus carpio,7962,marsdenia koi,species,1,,,,,,,,
26010,1,absidia corymbifera,Lichtheimia corymbifera,42458,absidia corymbifera,species,1,,,,,,,,
26020,1,patinopecten yessoensis,Mizuhopecten yessoensis,6573,patinopecten yessoensis,species,1,,,,,,,,
26029,1,cynanchum paniculatum,Vincetoxicum bungei,228726,cynanchum paniculatum,species,1,,,,,,,,
26046,1,salmonella anatum,Salmonella enterica subsp. enterica serovar Anatum,58712,salmonella anatum,no rank,1,,,,,,,,
26050,1,trillium kamtschaticum,Trillium camschatcense,49675,trillium kamtschaticum,species,1,,,,,,,,
26056,1,salmonella bredeney,Salmonella enterica subsp. enterica serovar Bredeney,134047,salmonella bredeney,no rank,1,,,,,,,,
26064,1,cassia surattensis,Senna surattensis,499995,cassia surattensis,species,1,,,,,,,,
26067,1,asparagus plumosus,Asparagus setaceus,272863,asparagus plumosus,species,1,,,,,,,,
26069,1,platycodon grandiflorum,Platycodon grandiflorus,94286,platycodon grandiflorum,species,1,,,,,,,,
26086,1,ecklonia kurome,Ecklonia cava subsp. kurome,2748578,ecklonia kurome,subspecies,1,,,,,,,,
26108,1,bacopa monniera,Bacopa monnieri,263974,bacopa monniera,species,1,,,,,,,,
26111,1,anthocidaris crassispina,Heliocidaris crassispina,1043166,anthocidaris crassispina,species,1,,,,,,,,
26127,1,tamus communis,Dioscorea communis,55634,tamus communis,species,1,,,,,,,,
26129,1,pseudomonas paucimobilis,Sphingomonas paucimobilis,13689,pseudomonas paucimobilis,species,1,,,,,,,,
26138,1,stephanotis lutchuensis koids var. japonica,Japonica,73258,stephanotis lutchuensis koids var. japonica,genus,1,,,,,,,,
26140,1,rhizopus oryzae,Rhizopus arrhizus,64495,rhizopus oryzae,species,1,,,,,,,,
26148,1,eupenicillium crustaceum,Penicillium kewense,1132638,eupenicillium crustaceum,species,1,,,,,,,,
26164,1,cyanospira rippkae,Cyanospira rippkae (nom. illeg.),165799,cyanospira rippkae,species,1,,,,,,,,
26180,1,diplazium subsinuatum,Deparia lancea,104666,diplazium subsinuatum,species,1,,,,,,,,
26184,1,lactobacillus bulgaricus,Lactobacillus delbrueckii subsp. bulgaricus,1585,lactobacillus bulgaricus,subspecies,1,,,,,,,,
26192,1,urginea maritima,Squilla maritima,82070,urginea maritima,species,1,,,,,,,,
26197,1,cercopithecus aethiops aethiops,Chlorocebus aethiops aethiops,101841,cercopithecus aethiops aethiops,subspecies,1,,,,,,,,
26761,1,salmonella arizonae,Salmonella enterica subsp. arizonae,59203,salmonella arizonae,subspecies,1,,,,,,,,
26762,1,actinobacillus actinomycetemcomitans,Aggregatibacter actinomycetemcomitans,714,actinobacillus actinomycetemcomitans,species,1,,,,,,,,
26787,1,boreava orientalis,Isatis quadrialata,358659,boreava orientalis,species,1,,,,,,,,
26794,1,sarcostemma viminale,Cynanchum viminale,126774,sarcostemma viminale,species,1,,,,,,,,
26807,1,dolichos lablab,Lablab purpureus,35936,dolichos lablab,species,1,,,,,,,,
26822,1,salmonella thompson,Salmonella enterica subsp. enterica serovar Thompson,600,salmonella thompson,no rank,1,,,,,,,,
26830,1,primula macrocalyx,Primula veris subsp. macrocalyx,184998,primula macrocalyx,subspecies,1,,,,,,,,
26834,1,styrax japonica,Styrax japonicus,59680,styrax japonica,species,1,,,,,,,,
26839,1,halobacterium salinarium,Halobacterium salinarum,2242,halobacterium salinarium,species,1,,,,,,,,
26849,1,melicocca bijuga,Melicoccus bijugatus,557010,melicocca bijuga,species,1,,,,,,,,
26852,1,clematis armandii,Clematis armandi,487159,clematis armandii,species,1,,,,,,,,
26204,2,saccharomyces kluyveri,Lachancea kluyveri,4934,saccharomyces kluyveri,species,1,,,,,,,,
26216,1,macropus eugenii,Notamacropus eugenii,9315,macropus eugenii,species,1,,,,,,,,
26221,1,bufo calamita,Epidalea calamita,30326,bufo calamita,species,1,,,,,,,,
26223,1,anabaena flos-aquae,Dolichospermum flos-aquae,1166,anabaena flos-aquae,species,1,,,,,,,,
26229,1,actinoplanes brasiliensis,Paractinoplanes brasiliensis,52695,actinoplanes brasiliensis,species,1,,,,,,,,
26241,1,dregea volubilis,Stephanotis volubilis,491995,dregea volubilis,species,1,,,,,,,,
26249,1,candida antarctica,Moesziomyces antarcticus,84753,candida antarctica,species,1,,,,,,,,
26254,1,oncorhynchus masou ishikawai,Oncorhynchus masou ishikawae,8021,oncorhynchus masou ishikawai,subspecies,1,,,,,,,,
26270,1,clostridium thermohydrosulfuricum,Thermoanaerobacter thermohydrosulfuricus,1516,clostridium thermohydrosulfuricum,species,1,,,,,,,,
26284,1,acacia xanthophloea,Vachellia xanthophloea,875661,acacia xanthophloea,species,1,,,,,,,,
26292,1,clerodendron trichotomum,Clerodendrum trichotomum,54229,clerodendron trichotomum,species,1,,,,,,,,
26297,1,halobacterium sodomense,Halorubrum sodomense,35743,halobacterium sodomense,species,1,,,,,,,,
26301,1,cassia marilandica,Senna marilandica,1789066,cassia marilandica,species,1,,,,,,,,
26306,1,salmonella typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,90371,salmonella typhimurium,no rank,1,,,,,,,,
26322,1,chirita sinensis,Primulina dryas,49123,chirita sinensis,species,1,,,,,,,,
26329,1,solanum xanthocarpum,Solanum virginianum,223891,solanum xanthocarpum,species,1,,,,,,,,
26338,1,neanthes diversicolor,Hediste diversicolor,126592,neanthes diversicolor,species,1,,,,,,,,
26343,1,cryptococcus laurentii,Papiliotrema laurentii,5418,cryptococcus laurentii,species,1,,,,,,,,
26354,1,salmonella typhi,Salmonella enterica subsp. enterica serovar Typhi,90370,salmonella typhi,no rank,1,,,,,,,,
26362,1,picrorhiza kurroa,Picrorhiza kurrooa,195120,picrorhiza kurroa,species,1,,,,,,,,
26368,1,heteropappus altaicus,Aster altaicus,983245,heteropappus altaicus,species,1,,,,,,,,
26391,1,hansenula holstii,Nakazawaea holstii,36025,hansenula holstii,species,1,,,,,,,,
26394,1,halobacterium cutirubrum,Halobacterium salinarum,2242,halobacterium cutirubrum,species,1,,,,,,,,
26397,1,propionibacterium acnes,Cutibacterium acnes,1747,propionibacterium acnes,species,1,,,,,,,,
26406,1,jasminum hemsleyi,Jasminum nervosum,310425,jasminum hemsleyi,species,1,,,,,,,,
26407,1,clostridium thermosaccharolyticum,Thermoanaerobacterium thermosaccharolyticum,1517,clostridium thermosaccharolyticum,species,1,,,,,,,,
26422,1,heloniopsis orientalis,Helonias orientalis,2163620,heloniopsis orientalis,species,1,,,,,,,,
26425,1,streptococcus zooepidemicus,Streptococcus equi subsp. zooepidemicus,40041,streptococcus zooepidemicus,subspecies,1,,,,,,,,
26429,1,nocardia lurida,Amycolatopsis lurida,31959,nocardia lurida,species,1,,,,,,,,
26434,1,naja naja kaouthia,Naja kaouthia,8649,naja naja kaouthia,species,1,,,,,,,,
26441,1,cassia nodosa,Cassia javanica subsp. nodosa,648864,cassia nodosa,subspecies,1,,,,,,,,
26447,1,clostridium innocuum,[Clostridium] innocuum,1522,clostridium innocuum,species,1,,,,,,,,
26450,1,phytophthora parasitica,Phytophthora nicotianae,4792,phytophthora parasitica,species,1,,,,,,,,
26462,1,aeodes ulvoidea,Pachymenia ulvoidea,164048,aeodes ulvoidea,species,1,,,,,,,,
26467,1,haemophilus pleuropneumoniae,Actinobacillus pleuropneumoniae,715,haemophilus pleuropneumoniae,species,1,,,,,,,,
26470,1,ipomoea pescaprae,Ipomoea pes-caprae,89656,ipomoea pescaprae,species,1,,,,,,,,
26477,1,pharbitis purpurea,Ipomoea purpurea,4121,pharbitis purpurea,species,1,,,,,,,,
26495,1,acanthophyllum gypsophiloides,Allochrusa gypsophiloides,2603720,acanthophyllum gypsophiloides,species,1,,,,,,,,
26512,1,cassia didymobotrya,Senna didymobotrya,72401,cassia didymobotrya,species,1,,,,,,,,
26514,1,strongylocentrotus nudus,Mesocentrotus nudus,7666,strongylocentrotus nudus,species,1,,,,,,,,
26520,1,pichia pastoris,Komagataella pastoris,4922,pichia pastoris,species,1,,,,,,,,
26522,1,bryonia dioica,Bryonia cretica subsp. dioica,3652,bryonia dioica,subspecies,1,,,,,,,,
26867,1,pseudomonas elodea,Sphingomonas elodea,179878,pseudomonas elodea,species,1,,,,,,,,
26871,1,micrococcus lysodeikticus,Micrococcus luteus,1270,micrococcus lysodeikticus,species,1,,,,,,,,
26877,1,dolichos biflorus,Vigna cylindrica,3091605,dolichos biflorus,species,1,,,,,,,,
26882,1,loligo bleekeri,Heterololigo bleekeri,1423826,loligo bleekeri,species,1,,,,,,,,
26887,1,laurencia gemmifera,Yuzurua poiteaui var. gemmifera,424510,laurencia gemmifera,varietas,1,,,,,,,,
26912,1,caralluma umbellata,Boucerosia umbellata,197243,caralluma umbellata,species,1,,,,,,,,
26917,1,lycopersicon esculentum,Solanum lycopersicum,4081,lycopersicon esculentum,species,1,,,,,,,,
26925,1,pichia holstii,Nakazawaea holstii,36025,pichia holstii,species,1,,,,,,,,
26938,1,clostridium symbiosum,[Clostridium] symbiosum,1512,clostridium symbiosum,species,1,,,,,,,,
26941,1,bothrops atrox moojeni,Bothrops moojeni,98334,bothrops atrox moojeni,species,1,,,,,,,,
26945,1,stephanotis lutchuensis koidz var. japonica,Japonica,73258,stephanotis lutchuensis koidz var. japonica,genus,1,,,,,,,,
26947,1,mycosphaerella pinodes,Didymella pinodes,749589,mycosphaerella pinodes,species,1,,,,,,,,
26957,1,foeniculum vulgare,Anethum foeniculum,2849586,foeniculum vulgare,species,1,,,,,,,,
26960,1,pseudomonas aurantiaca,Pseudomonas chlororaphis subsp. aurantiaca,86192,pseudomonas aurantiaca,subspecies,1,,,,,,,,
26972,1,kalopanax pictus,Kalopanax septemlobus,228393,kalopanax pictus,species,1,,,,,,,,
26974,1,streptococcus sanguis,Streptococcus sanguinis,1305,streptococcus sanguis,species,1,,,,,,,,
26992,1,agave vera cruz,Agave vera-cruz,2695074,agave vera cruz,species,1,,,,,,,,
27000,1,pterocladia capillacea,Pterocladiella capillacea,70838,pterocladia capillacea,species,1,,,,,,,,
27002,1,epilobium angustifolium,Chamaenerion angustifolium,13055,epilobium angustifolium,species,1,,,,,,,,
27020,1,rigidoporus lignosus,Rigidoporus microporus,219653,rigidoporus lignosus,species,1,,,,,,,,
27023,1,astragalus complanatus,Phyllolobium chinense,47064,astragalus complanatus,species,1,,,,,,,,
27031,1,salmonella adelaide,Salmonella enterica subsp. enterica serovar Adelaide,29473,salmonella adelaide,no rank,1,,,,,,,,
27037,1,salmonella poona,Salmonella enterica subsp. enterica serovar Poona,436295,salmonella poona,no rank,1,,,,,,,,
27045,1,halobacterium halobium,Halobacterium salinarum,2242,halobacterium halobium,species,1,,,,,,,,
27066,1,corynebacterium insidiosum,Clavibacter michiganensis subsp. insidiosus,33014,corynebacterium insidiosum,subspecies,1,,,,,,,,
27076,1,dendranthema shiwogiku,Ajania shiwogiku,344877,dendranthema shiwogiku,species,1,,,,,,,,
27079,1,zygophyllum propinquum,Tetraena propinqua,1732529,zygophyllum propinquum,species,1,,,,,,,,
27081,1,allium porrum,Allium ampeloprasum,4681,allium porrum,species,1,,,,,,,,
27093,1,anthyllis onobrychioides,Anthyllis onobrychoides,181248,anthyllis onobrychioides,species,1,,,,,,,,
27096,1,theragra chalcogramma,Gadus chalcogrammus,1042646,theragra chalcogramma,species,1,,,,,,,,
27116,1,salmonella ohio,Salmonella enterica subsp. enterica serovar Ohio,117541,salmonella ohio,no rank,1,,,,,,,,
27120,1,rhamnus purshiana,Frangula purshiana,55262,rhamnus purshiana,species,1,,,,,,,,
27122,1,salmonella cholerae suis,Salmonella enterica,28901,salmonella cholerae suis,species,1,,,,,,,,
27131,1,agkistrodon rhodostoma,Calloselasma rhodostoma,8717,agkistrodon rhodostoma,species,1,,,,,,,,
27137,1,rhodocyclus gelatinosus,Rubrivivax gelatinosus,28068,rhodocyclus gelatinosus,species,1,,,,,,,,
27141,1,nocardia rubra,Rhodococcus ruber,1830,nocardia rubra,species,1,,,,,,,,
27154,1,polyporus confluens,Confluens,425962,polyporus confluens,genus,1,,,,,,,,
27155,1,melia azadirachta,Azadirachta indica,124943,melia azadirachta,species,1,,,,,,,,
27160,1,bacillus polymyxa,Paenibacillus polymyxa,1406,bacillus polymyxa,species,1,,,,,,,,
27163,1,torpedo californica,Tetronarce californica,7787,torpedo californica,species,1,,,,,,,,
27171,1,pseudomonas mesoacidophila,Burkholderia ubonensis subsp. mesacidophila,265293,pseudomonas mesoacidophila,subspecies,1,,,,,,,,
27184,1,rhizobium meliloti,Sinorhizobium meliloti,382,rhizobium meliloti,species,1,,,,,,,,
27191,1,acanthopanax sieboldianus,Eleutherococcus sieboldianus,257409,acanthopanax sieboldianus,species,1,,,,,,,,
27200,1,pueraria lobata,Pueraria montana var. lobata,3893,pueraria lobata,varietas,1,,,,,,,,
25207,1,abrus cantoniensis,Abrus pulchellus subsp. cantoniensis,858909,abrus cantoniensis,subspecies,1,,,,,,,,
25209,1,pseudomonas pseudomallei,Burkholderia pseudomallei,28450,pseudomonas pseudomallei,species,1,,,,,,,,
25211,1,achyrocline satureioides,Achyrocline saturejoides,3030045,achyrocline satureioides,species,1,,,,,,,,
25215,1,caulobacter bacteroides,Brevundimonas bacteroides,74311,caulobacter bacteroides,species,1,,,,,,,,
25226,1,acanthopanax koreanum,Eleutherococcus koreanus,96667,acanthopanax koreanum,species,1,,,,,,,,
25227,1,salmonella newport,Salmonella enterica subsp. enterica serovar Newport,108619,salmonella newport,no rank,1,,,,,,,,
25245,1,halobacterium mediterranei,Haloferax mediterranei,2252,halobacterium mediterranei,species,1,,,,,,,,
25288,1,rhizobium trifolii,Rhizobium leguminosarum,384,rhizobium trifolii,species,1,,,,,,,,
25293,1,lactobacillus casei,Lacticaseibacillus casei,1582,lactobacillus casei,species,1,,,,,,,,
25326,1,eucheuma cottonii,Kappaphycopsis cottonii,88409,eucheuma cottonii,species,1,,,,,,,,
25338,1,stichopus japonicus,Apostichopus japonicus,307972,stichopus japonicus,species,1,,,,,,,,
25355,1,phytolacca esculenta,Phytolacca acinosa,3528,phytolacca esculenta,species,1,,,,,,,,
25356,1,ribes uva crispa,Ribes uva-crispa,135518,ribes uva crispa,species,1,,,,,,,,
25358,1,hyptis suaveolens,Mesosphaerum suaveolens,204129,hyptis suaveolens,species,1,,,,,,,,
25360,1,ipomoea pilosa,Pilosa,948950,ipomoea pilosa,order,1,,,,,,,,
25381,1,penicillium varians,Talaromyces varians,1131668,penicillium varians,species,1,,,,,,,,
25397,1,schizolobium parahybum,Schizolobium parahyba,46664,schizolobium parahybum,species,1,,,,,,,,
25419,1,sclerotium rolfsii,Agroathelia rolfsii,39291,sclerotium rolfsii,species,1,,,,,,,,
25421,1,eubacterium saburreum,Lachnoanaerobaculum saburreum,467210,eubacterium saburreum,species,1,,,,,,,,
25426,1,thiobacillus ferrooxidans,Acidithiobacillus ferrooxidans,920,thiobacillus ferrooxidans,species,1,,,,,,,,
25446,1,deleya marina,Cobetia marina,28258,deleya marina,species,1,,,,,,,,
25452,1,rhamnus frangula,Frangula alnus,106677,rhamnus frangula,species,1,,,,,,,,
25466,1,swietenia mahogoni,Swietenia mahagoni,459165,swietenia mahogoni,species,1,,,,,,,,
25469,1,silene alba,Silene latifolia subsp. alba,52853,silene alba,subspecies,1,,,,,,,,
25490,1,cucumaria echinata,Pseudocnus echinatus,2592315,cucumaria echinata,species,1,,,,,,,,
25493,1,pseudomonas cepacia,Burkholderia cepacia,292,pseudomonas cepacia,species,1,,,,,,,,
25507,1,zizyphus nummularia,Ziziphus nummularia,498071,zizyphus nummularia,species,1,,,,,,,,
25509,1,agave cantala,Agave vivipara,2992182,agave cantala,species,1,,,,,,,,
25518,1,paecilomyces variotti,Paecilomyces variotii,264951,paecilomyces variotti,species,1,,,,,,,,
25520,1,cassia tora,Senna tora,362788,cassia tora,species,1,,,,,,,,
25584,1,rhapis exelsa,Rhapis excelsa,115514,rhapis exelsa,species,1,,,,,,,,
