ID,count,name,namespacename,namespaceid,mappingname,rank,matchCount,chatgpt_name,name_match_?,ncbi_species_name,ncbi_species_name_match_?,ncbi_taxon_id,ncbi_taxon_id_match_?
25463,1,sophora japonica,Styphnolobium japonicum,3897,sophora japonica,species,1,Styphnolobium japonicum,Yes,Styphnolobium japonicum,Yes,3897,Yes
25497,1,pseudomonas diminuta,Brevundimonas diminuta,293,pseudomonas diminuta,species,1,Brevundimonas diminuta,Yes,Brevundimonas diminuta,Yes,293,Yes
25526,1,nocardia corynebacteroides,Rhodococcoides corynebacterioides,53972,nocardia corynebacteroides,species,1,Rhodococcus corynebacterioides,No,,No,,No
26526,1,laminaria japonica,Saccharina japonica,88149,laminaria japonica,species,1,Saccharina japonica,Yes,Saccharina japonica,Yes,88149,Yes
26558,1,ganoderma tsugae,Polyporus tsugae,2075311,ganoderma tsugae,species,1,Ganoderma tsugae,No,Polyporus tsugae,Yes,2075311,Yes
26562,1,nolina recurvata,Beaucarnea recurvata,39519,nolina recurvata,species,1,Beaucarnea recurvata,Yes,Beaucarnea recurvata,Yes,39519,Yes
26593,1,osmaronia cerasiformis,Oemleria cerasiformis,32237,osmaronia cerasiformis,species,1,Oemleria cerasiformis,Yes,Oemleria cerasiformis,Yes,32237,Yes
26623,1,bacteroides cellulosolvens,Pseudobacteroides cellulosolvens,35825,bacteroides cellulosolvens,species,1,Pseudobacteroides cellulosolvens,Yes,Pseudobacteroides cellulosolvens,Yes,35825,Yes
26627,1,streptococcus hemolyticus,Streptococcus pyogenes,1314,streptococcus hemolyticus,species,1,Streptococcus pyogenes,Yes,Streptococcus pyogenes,Yes,1314,Yes
26631,1,eupenicillium,Penicillium,5073,eupenicillium,genus,1,Penicillium,Yes,Penicillium,Yes,5073,Yes
26666,1,acetobacter xylinum,Komagataeibacter xylinus,28448,acetobacter xylinum,species,1,Komagataeibacter xylinus,Yes,Komagataeibacter xylinus,Yes,28448,Yes
25531,1,macaca irus,Macaca fascicularis,9541,macaca irus,species,1,Macaca fascicularis,Yes,Macaca fascicularis,Yes,9541,Yes
25564,1,enterobacter agglomerans,Pantoea agglomerans,549,enterobacter agglomerans,species,1,Pantoea agglomerans,Yes,Pantoea agglomerans,Yes,549,Yes
25574,1,salmonella minnesota,Salmonella enterica subsp. enterica serovar Minnesota,70803,salmonella minnesota,no rank,1,Salmonella enterica subsp. enterica serovar Minnesota,Yes,Salmonella enterica subsp. enterica serovar Minnesota,Yes,70803,Yes
25609,1,liriope platyphylla,Liriope muscari,39529,liriope platyphylla,species,1,Liriope muscari,Yes,Liriope muscari,Yes,39529,Yes
25612,1,erwinia chrysanthemi,Dickeya chrysanthemi,556,erwinia chrysanthemi,species,1,Dickeya chrysanthemi,Yes,Dickeya chrysanthemi,Yes,556,Yes
25626,1,asparagus sprengeri,Asparagus aethiopicus,693368,asparagus sprengeri,species,1,Asparagus aethiopicus,Yes,Asparagus aethiopicus,Yes,693368,Yes
25636,1,rhinopetalum stenantherum,Fritillaria stenanthera,83801,rhinopetalum stenantherum,species,1,Fritillaria stenanthera,Yes,Fritillaria stenanthera,Yes,83801,Yes
25646,1,ipomoea tuberosa,Distimake tuberosus,89668,ipomoea tuberosa,species,1,Merremia tuberosa,No,Distimake tuberosus,Yes,89668,Yes
25669,1,pseudomonas mendocina,Ectopseudomonas mendocina,300,pseudomonas mendocina,species,1,Pseudomonas mendocina,No,Ectopseudomonas mendocina,Yes,300,Yes
25681,1,urginea hesperia,Squilla hesperia,82069,urginea hesperia,species,1,Drimia hesperia,No,Squilla hesperia,Yes,82069,Yes
25696,1,glomerella cingulata,Colletotrichum gloeosporioides,474922,glomerella cingulata,species,1,Glomerella cingulata,No,Colletotrichum gloeosporioides,Yes,474922,Yes
25709,1,rosmarinus officinalis,Salvia rosmarinus,39367,rosmarinus officinalis,species,1,Salvia rosmarinus,Yes,Salvia rosmarinus,Yes,39367,Yes
25716,1,axolotl,Ambystoma mexicanum,8296,axolotl,species,1,Ambystoma mexicanum,Yes,Ambystoma mexicanum,Yes,8296,Yes
25754,1,primula officinalis,Primula veris,170927,primula officinalis,species,1,Primula veris,Yes,Primula veris,Yes,170927,Yes
25764,1,microsporum cookei,Paraphyton cookei,1592208,microsporum cookei,species,1,Paraphyton cookei,Yes,Paraphyton cookei,Yes,1592208,Yes
25785,1,ipomoea fistulosa,Ipomoea carnea subsp. fistulosa,693375,ipomoea fistulosa,subspecies,1,Ipomoea carnea subsp. fistulosa,Yes,Ipomoea carnea subsp. fistulosa,Yes,693375,Yes
25819,1,crotalaria mucronata,Crotalaria pallida,3830,crotalaria mucronata,species,1,Crotalaria pallida,Yes,Crotalaria pallida,Yes,3830,Yes
25820,1,gracilaria eucheumoides,Gracilaria eucheumatoides,172970,gracilaria eucheumoides,species,1,Hydropuntia eucheumatoides,No,Gracilaria eucheumatoides,Yes,172970,Yes
25832,1,pythium ultimum,Globisporangium ultimum,2052682,pythium ultimum,species,1,Globisporangium ultimum,Yes,Globisporangium ultimum,Yes,2052682,Yes
25835,1,mycobacterium fortuitum,Mycolicibacterium fortuitum,1766,mycobacterium fortuitum,species,1,Mycolicibacterium fortuitum,Yes,Mycolicibacterium fortuitum,Yes,1766,Yes
25858,1,rhizobium lupini,Bradyrhizobium lupini,136996,rhizobium lupini,species,1,Bradyrhizobium lupini,Yes,Bradyrhizobium lupini,Yes,136996,Yes
26684,1,rapanea melanophloeos,Myrsine melanophloeos,459861,rapanea melanophloeos,species,1,Myrsine melanophloeos,Yes,Myrsine melanophloeos,Yes,459861,Yes
26686,1,microsporum racemosum,Nannizzia lorica,2973799,microsporum racemosum,species,1,Nannizzia racemosa,No,Nannizzia racemosa,No,231010,No
26696,1,vipera russelli russelli,Daboia russelii russelii,31159,vipera russelli russelli,subspecies,1,Daboia russelii russelii,Yes,Daboia russelii russelii,Yes,31159,Yes
26699,1,microciona prolifera,Clathria prolifera,1190602,microciona prolifera,species,1,Clathria (Microciona) prolifera,No,,No,,No
26719,1,halobacterium saccharovorum,Halorubrum saccharovorum,2248,halobacterium saccharovorum,species,1,Halorubrum saccharovorum,Yes,Halorubrum saccharovorum,Yes,2248,Yes
26729,1,salmonella kentucky,Salmonella enterica subsp. enterica serovar Kentucky,192955,salmonella kentucky,no rank,1,Salmonella enterica subsp. enterica serovar Kentucky,Yes,Salmonella enterica subsp. enterica serovar Kentucky,Yes,192955,Yes
26741,1,dunalia australis,Eriolarynx australis,362352,dunalia australis,species,1,Iochroma australe,No,Eriolarynx australis,Yes,362352,Yes
25881,1,desulfurolobus ambivalens,Acidianus ambivalens,2283,desulfurolobus ambivalens,species,1,Acidianus ambivalens,Yes,Acidianus ambivalens,Yes,2283,Yes
25904,1,flavobacterium meningosepticum,Elizabethkingia meningoseptica,238,flavobacterium meningosepticum,species,1,Elizabethkingia meningoseptica,Yes,Elizabethkingia meningoseptica,Yes,238,Yes
25923,1,pterocephalus hookeri,Bassecoia hookeri,626364,pterocephalus hookeri,species,1,Pterocephalodes hookeri,No,Bassecoia hookeri,Yes,626364,Yes
25931,1,bacillus alvei,Paenibacillus alvei,44250,bacillus alvei,species,1,Paenibacillus alvei,Yes,Paenibacillus alvei,Yes,44250,Yes
25948,1,vernonia amygdalina,Gymnanthemum amygdalinum,82755,vernonia amygdalina,species,1,Gymnanthemum amygdalinum,Yes,Gymnanthemum amygdalinum,Yes,82755,Yes
25969,1,hacquetia epipactis,Sanicula epipactis,52473,hacquetia epipactis,species,1,Hacquetia epipactis,No,Sanicula epipactis,Yes,52473,Yes
25985,1,halobacterium volcanii,Haloferax volcanii,2246,halobacterium volcanii,species,1,Haloferax volcanii,Yes,Haloferax volcanii,Yes,2246,Yes
26003,1,marsdenia koi,Marsdenia koi,3721076,marsdenia koi,species,1,Marsdenia koi,Yes,Marsdenia koi,Yes,3721076,Yes
26020,1,patinopecten yessoensis,Mizuhopecten yessoensis,6573,patinopecten yessoensis,species,1,Mizuhopecten yessoensis,Yes,Mizuhopecten yessoensis,Yes,6573,Yes
26029,1,cynanchum paniculatum,Vincetoxicum bungei,228726,cynanchum paniculatum,species,1,Cynanchum paniculatum,No,Vincetoxicum bungei,Yes,228726,Yes
26050,1,trillium kamtschaticum,Trillium camschatcense,49675,trillium kamtschaticum,species,1,Trillium camschatcense,Yes,Trillium camschatcense,Yes,49675,Yes
26064,1,cassia surattensis,Senna surattensis,499995,cassia surattensis,species,1,Senna surattensis,Yes,Senna surattensis,Yes,499995,Yes
26067,1,asparagus plumosus,Asparagus setaceus,272863,asparagus plumosus,species,1,Asparagus setaceus,Yes,Asparagus setaceus,Yes,272863,Yes
26069,1,platycodon grandiflorum,Platycodon grandiflorus,94286,platycodon grandiflorum,species,1,Platycodon grandiflorus,Yes,Platycodon grandiflorus,Yes,94286,Yes
26086,1,ecklonia kurome,Ecklonia cava subsp. kurome,2748578,ecklonia kurome,subspecies,1,Ecklonia kurome,No,Ecklonia cava subsp. kurome,Yes,2748578,Yes
26108,1,bacopa monniera,Bacopa monnieri,263974,bacopa monniera,species,1,Bacopa monnieri,Yes,Bacopa monnieri,Yes,263974,Yes
26127,1,tamus communis,Dioscorea communis,55634,tamus communis,species,1,Dioscorea communis,Yes,Dioscorea communis,Yes,55634,Yes
26129,1,pseudomonas paucimobilis,Sphingomonas paucimobilis,13689,pseudomonas paucimobilis,species,1,Sphingomonas paucimobilis,Yes,Sphingomonas paucimobilis,Yes,13689,Yes
26148,1,eupenicillium crustaceum,Penicillium kewense,1132638,eupenicillium crustaceum,species,1,Penicillium crustosum,No,Penicillium crustosum,No,36656,No
26164,1,cyanospira rippkae,Cyanospira rippkae (nom. illeg.),165799,cyanospira rippkae,species,1,Cyanospira rippkae,No,Cyanospira rippkae (nom. illeg.),Yes,165799,Yes
26180,1,diplazium subsinuatum,Deparia lancea,104666,diplazium subsinuatum,species,1,Diplazium subsinuatum,No,Deparia lancea,Yes,104666,Yes
26197,1,cercopithecus aethiops aethiops,Chlorocebus aethiops aethiops,101841,cercopithecus aethiops aethiops,subspecies,1,Chlorocebus aethiops,No,Chlorocebus aethiops,No,9534,No
26775,1,methanosaeta,Methanothrix,2222,methanosaeta,genus,1,Methanothrix,Yes,Methanothrix,Yes,2222,Yes
26794,1,sarcostemma viminale,Cynanchum viminale,126774,sarcostemma viminale,species,1,Cynanchum viminale,Yes,Cynanchum viminale,Yes,126774,Yes
26807,1,dolichos lablab,Lablab purpureus,35936,dolichos lablab,species,1,Lablab purpureus,Yes,Lablab purpureus,Yes,35936,Yes
26830,1,primula macrocalyx,Primula veris subsp. macrocalyx,184998,primula macrocalyx,subspecies,1,Primula macrocalyx,No,Primula veris subsp. macrocalyx,Yes,184998,Yes
26834,1,styrax japonica,Styrax japonicus,59680,styrax japonica,species,1,Styrax japonicus,Yes,Styrax japonicus,Yes,59680,Yes
26849,1,melicocca bijuga,Melicoccus bijugatus,557010,melicocca bijuga,species,1,Melicoccus bijugatus,Yes,Melicoccus bijugatus,Yes,557010,Yes
26852,1,clematis armandii,Clematis armandi,487159,clematis armandii,species,1,Clematis armandii,No,Clematis armandi,Yes,487159,Yes
26216,1,macropus eugenii,Notamacropus eugenii,9315,macropus eugenii,species,1,Notamacropus eugenii,Yes,Notamacropus eugenii,Yes,9315,Yes
26221,1,bufo calamita,Epidalea calamita,30326,bufo calamita,species,1,Epidalea calamita,Yes,Epidalea calamita,Yes,30326,Yes
26223,1,anabaena flos-aquae,Dolichospermum flos-aquae,1166,anabaena flos-aquae,species,1,Dolichospermum flos-aquae,Yes,Dolichospermum flos-aquae,Yes,1166,Yes
26241,1,dregea volubilis,Stephanotis volubilis,491995,dregea volubilis,species,1,Dregea volubilis,No,Stephanotis volubilis,Yes,491995,Yes
26284,1,acacia xanthophloea,Vachellia xanthophloea,875661,acacia xanthophloea,species,1,Vachellia xanthophloea,Yes,Vachellia xanthophloea,Yes,875661,Yes
26297,1,halobacterium sodomense,Halorubrum sodomense,35743,halobacterium sodomense,species,1,Halorubrum sodomense,Yes,Halorubrum sodomense,Yes,35743,Yes
26301,1,cassia marilandica,Senna marilandica,1789066,cassia marilandica,species,1,Senna marilandica,Yes,Senna marilandica,Yes,1789066,Yes
26338,1,neanthes diversicolor,Hediste diversicolor,126592,neanthes diversicolor,species,1,Hediste diversicolor,Yes,Hediste diversicolor,Yes,126592,Yes
26343,1,cryptococcus laurentii,Papiliotrema laurentii,5418,cryptococcus laurentii,species,1,Papiliotrema laurentii,Yes,Papiliotrema laurentii,Yes,5418,Yes
26362,1,picrorhiza kurroa,Picrorhiza kurrooa,195120,picrorhiza kurroa,species,1,Picrorhiza kurroa,No,Picrorhiza kurrooa,Yes,195120,Yes
26368,1,heteropappus altaicus,Aster altaicus,983245,heteropappus altaicus,species,1,Heteropappus altaicus,No,Aster altaicus,Yes,983245,Yes
26391,1,hansenula holstii,Nakazawaea holstii,36025,hansenula holstii,species,1,Pichia holstii,No,Nakazawaea holstii,Yes,36025,Yes
26394,1,halobacterium cutirubrum,Halobacterium salinarum,2242,halobacterium cutirubrum,species,1,Halobacterium salinarum,Yes,Halobacterium salinarum,Yes,2242,Yes
26397,1,propionibacterium acnes,Cutibacterium acnes,1747,propionibacterium acnes,species,1,Cutibacterium acnes,Yes,Cutibacterium acnes,Yes,1747,Yes
26422,1,heloniopsis orientalis,Helonias orientalis,2163620,heloniopsis orientalis,species,1,Heloniopsis orientalis,No,Helonias orientalis,Yes,2163620,Yes
26425,1,streptococcus zooepidemicus,Streptococcus equi subsp. zooepidemicus,40041,streptococcus zooepidemicus,subspecies,1,Streptococcus equi subsp. zooepidemicus,Yes,Streptococcus equi subsp. zooepidemicus,Yes,40041,Yes
26434,1,naja naja kaouthia,Naja kaouthia,8649,naja naja kaouthia,species,1,Naja kaouthia,Yes,Naja kaouthia,Yes,8649,Yes
26447,1,clostridium innocuum,[Clostridium] innocuum,1522,clostridium innocuum,species,1,Erysipelatoclostridium innocuum,No,,No,,No
26450,1,phytophthora parasitica,Phytophthora nicotianae,4792,phytophthora parasitica,species,1,Phytophthora nicotianae,Yes,Phytophthora nicotianae,Yes,4792,Yes
26462,1,aeodes ulvoidea,Pachymenia ulvoidea,164048,aeodes ulvoidea,species,1,Aeodes ulvoidea,No,Pachymenia ulvoidea,Yes,164048,Yes
26470,1,ipomoea pescaprae,Ipomoea pes-caprae,89656,ipomoea pescaprae,species,1,Ipomoea pes-caprae,Yes,Ipomoea pes-caprae,Yes,89656,Yes
26477,1,pharbitis purpurea,Ipomoea purpurea,4121,pharbitis purpurea,species,1,Ipomoea purpurea,Yes,Ipomoea purpurea,Yes,4121,Yes
26514,1,strongylocentrotus nudus,Mesocentrotus nudus,7666,strongylocentrotus nudus,species,1,Mesocentrotus nudus,Yes,Mesocentrotus nudus,Yes,7666,Yes
26520,1,pichia pastoris,Komagataella pastoris,4922,pichia pastoris,species,1,Komagataella pastoris,Yes,Komagataella pastoris,Yes,4922,Yes
26522,1,bryonia dioica,Bryonia cretica subsp. dioica,3652,bryonia dioica,subspecies,1,Bryonia dioica,No,Bryonia cretica subsp. dioica,Yes,3652,Yes
26867,1,pseudomonas elodea,Sphingomonas elodea,179878,pseudomonas elodea,species,1,Sphingomonas elodea,Yes,Sphingomonas elodea,Yes,179878,Yes
26871,1,micrococcus lysodeikticus,Micrococcus luteus,1270,micrococcus lysodeikticus,species,1,Micrococcus luteus,Yes,Micrococcus luteus,Yes,1270,Yes
26882,1,loligo bleekeri,Heterololigo bleekeri,1423826,loligo bleekeri,species,1,Heterololigo bleekeri,Yes,Heterololigo bleekeri,Yes,1423826,Yes
26912,1,caralluma umbellata,Boucerosia umbellata,197243,caralluma umbellata,species,1,Boucerosia umbellata,Yes,Boucerosia umbellata,Yes,197243,Yes
26925,1,pichia holstii,Nakazawaea holstii,36025,pichia holstii,species,1,Ogataea holstii,No,,No,,No
26938,1,clostridium symbiosum,[Clostridium] symbiosum,1512,clostridium symbiosum,species,1,Enterocloster symbiosus,No,,No,,No
26941,1,bothrops atrox moojeni,Bothrops moojeni,98334,bothrops atrox moojeni,species,1,Bothrops moojeni,Yes,Bothrops moojeni,Yes,98334,Yes
26957,1,foeniculum vulgare,Anethum foeniculum,2849586,foeniculum vulgare,species,1,Foeniculum vulgare,No,Anethum foeniculum,Yes,2849586,Yes
26972,1,kalopanax pictus,Kalopanax septemlobus,228393,kalopanax pictus,species,1,Kalopanax septemlobus,Yes,Kalopanax septemlobus,Yes,228393,Yes
26992,1,agave vera cruz,Agave vera-cruz,2695074,agave vera cruz,species,1,Agave vivipara,No,Agave vivipara,No,2992182,No
27000,1,pterocladia capillacea,Pterocladiella capillacea,70838,pterocladia capillacea,species,1,Pterocladiella capillacea,Yes,Pterocladiella capillacea,Yes,70838,Yes
27002,1,epilobium angustifolium,Chamaenerion angustifolium,13055,epilobium angustifolium,species,1,Chamaenerion angustifolium,Yes,Chamaenerion angustifolium,Yes,13055,Yes
27023,1,astragalus complanatus,Phyllolobium chinense,47064,astragalus complanatus,species,1,Astragalus complanatus,No,Phyllolobium chinense,Yes,47064,Yes
27031,1,salmonella adelaide,Salmonella enterica subsp. enterica serovar Adelaide,29473,salmonella adelaide,no rank,1,Salmonella enterica subsp. enterica serovar Adelaide,Yes,Salmonella enterica subsp. enterica serovar Adelaide,Yes,29473,Yes
27045,1,halobacterium halobium,Halobacterium salinarum,2242,halobacterium halobium,species,1,Halobacterium salinarum,Yes,Halobacterium salinarum,Yes,2242,Yes
27076,1,dendranthema shiwogiku,Ajania shiwogiku,344877,dendranthema shiwogiku,species,1,Chrysanthemum shiwogiku,No,Ajania shiwogiku,Yes,344877,Yes
27079,1,zygophyllum propinquum,Tetraena propinqua,1732529,zygophyllum propinquum,species,1,Tetraena propinqua,Yes,Tetraena propinqua,Yes,1732529,Yes
27081,1,allium porrum,Allium ampeloprasum,4681,allium porrum,species,1,Allium porrum,No,Allium ampeloprasum,Yes,4681,Yes
27096,1,theragra chalcogramma,Gadus chalcogrammus,1042646,theragra chalcogramma,species,1,Gadus chalcogrammus,Yes,Gadus chalcogrammus,Yes,1042646,Yes
27120,1,rhamnus purshiana,Frangula purshiana,55262,rhamnus purshiana,species,1,Frangula purshiana,Yes,Frangula purshiana,Yes,55262,Yes
27122,1,salmonella cholerae suis,Salmonella enterica,28901,salmonella cholerae suis,species,1,Salmonella enterica subsp. enterica serovar Choleraesuis,No,Salmonella enterica subsp. enterica serovar Choleraesuis,No,119912,No
27131,1,agkistrodon rhodostoma,Calloselasma rhodostoma,8717,agkistrodon rhodostoma,species,1,Calloselasma rhodostoma,Yes,Calloselasma rhodostoma,Yes,8717,Yes
27141,1,nocardia rubra,Rhodococcus ruber,1830,nocardia rubra,species,1,Rhodococcus ruber,Yes,Rhodococcus ruber,Yes,1830,Yes
27155,1,melia azadirachta,Azadirachta indica,124943,melia azadirachta,species,1,Azadirachta indica,Yes,Azadirachta indica,Yes,124943,Yes
27160,1,bacillus polymyxa,Paenibacillus polymyxa,1406,bacillus polymyxa,species,1,Paenibacillus polymyxa,Yes,Paenibacillus polymyxa,Yes,1406,Yes
27184,1,rhizobium meliloti,Sinorhizobium meliloti,382,rhizobium meliloti,species,1,Sinorhizobium meliloti,Yes,Sinorhizobium meliloti,Yes,382,Yes
27191,1,acanthopanax sieboldianus,Eleutherococcus sieboldianus,257409,acanthopanax sieboldianus,species,1,Eleutherococcus sieboldianus,Yes,Eleutherococcus sieboldianus,Yes,257409,Yes
27200,1,pueraria lobata,Pueraria montana var. lobata,3893,pueraria lobata,varietas,1,Pueraria montana var. lobata,Yes,Pueraria montana var. lobata,Yes,3893,Yes
25211,1,achyrocline satureioides,Achyrocline saturejoides,3030045,achyrocline satureioides,species,1,Achyrocline satureioides,No,Achyrocline saturejoides,Yes,3030045,Yes
25215,1,caulobacter bacteroides,Brevundimonas bacteroides,74311,caulobacter bacteroides,species,1,Brevundimonas bacteroides,Yes,Brevundimonas bacteroides,Yes,74311,Yes
25227,1,salmonella newport,Salmonella enterica subsp. enterica serovar Newport,108619,salmonella newport,no rank,1,Salmonella enterica subsp. enterica serovar Newport,Yes,Salmonella enterica subsp. enterica serovar Newport,Yes,108619,Yes
25293,1,lactobacillus casei,Lacticaseibacillus casei,1582,lactobacillus casei,species,1,Lacticaseibacillus casei,Yes,Lacticaseibacillus casei,Yes,1582,Yes
25355,1,phytolacca esculenta,Phytolacca acinosa,3528,phytolacca esculenta,species,1,Phytolacca acinosa,Yes,Phytolacca acinosa,Yes,3528,Yes
25356,1,ribes uva crispa,Ribes uva-crispa,135518,ribes uva crispa,species,1,Ribes uva-crispa,Yes,Ribes uva-crispa,Yes,135518,Yes
25358,1,hyptis suaveolens,Mesosphaerum suaveolens,204129,hyptis suaveolens,species,1,Mesosphaerum suaveolens,Yes,Mesosphaerum suaveolens,Yes,204129,Yes
25381,1,penicillium varians,Talaromyces varians,1131668,penicillium varians,species,1,Talaromyces varians,Yes,Talaromyces varians,Yes,1131668,Yes
25397,1,schizolobium parahybum,Schizolobium parahyba,46664,schizolobium parahybum,species,1,Schizolobium parahyba,Yes,Schizolobium parahyba,Yes,46664,Yes
25421,1,eubacterium saburreum,Lachnoanaerobaculum saburreum,467210,eubacterium saburreum,species,1,Lachnoanaerobaculum saburreum,Yes,Lachnoanaerobaculum saburreum,Yes,467210,Yes
25446,1,deleya marina,Cobetia marina,28258,deleya marina,species,1,Halomonas marina,No,Cobetia marina,Yes,28258,Yes
25452,1,rhamnus frangula,Frangula alnus,106677,rhamnus frangula,species,1,Frangula alnus,Yes,Frangula alnus,Yes,106677,Yes
25469,1,silene alba,Silene latifolia subsp. alba,52853,silene alba,subspecies,1,Silene latifolia,No,Silene latifolia,No,37657,No
25490,1,cucumaria echinata,Pseudocnus echinatus,2592315,cucumaria echinata,species,1,Cucumaria echinata,No,Pseudocnus echinatus,Yes,2592315,Yes
25493,1,pseudomonas cepacia,Burkholderia cepacia,292,pseudomonas cepacia,species,1,Burkholderia cepacia,Yes,Burkholderia cepacia,Yes,292,Yes
25509,1,agave cantala,Agave vivipara,2992182,agave cantala,species,1,Agave cantala,No,Agave vivipara,Yes,2992182,Yes
25518,1,paecilomyces variotti,Paecilomyces variotii,264951,paecilomyces variotti,species,1,Paecilomyces variotii,Yes,Paecilomyces variotii,Yes,264951,Yes
25520,1,cassia tora,Senna tora,362788,cassia tora,species,1,Senna tora,Yes,Senna tora,Yes,362788,Yes
25584,1,rhapis exelsa,Rhapis excelsa,115514,rhapis exelsa,species,1,Rhapis excelsa,Yes,Rhapis excelsa,Yes,115514,Yes
25627,1,hizikia fusiformis,Sargassum fusiforme,590727,hizikia fusiformis,species,1,Sargassum fusiforme,Yes,Sargassum fusiforme,Yes,590727,Yes
25631,1,mycoplasma fermentans,Mycoplasmopsis fermentans,2115,mycoplasma fermentans,species,1,Mycoplasmoides fermentans,No,,No,,No
25689,1,lentinus edodes,Lentinula edodes,5353,lentinus edodes,species,1,Lentinula edodes,Yes,Lentinula edodes,Yes,5353,Yes
25691,1,sedum telephium,Hylotelephium telephium,91097,sedum telephium,species,1,Hylotelephium telephium,Yes,Hylotelephium telephium,Yes,91097,Yes
25705,1,eucheuma spinosum,Eucheuma denticulatum,305493,eucheuma spinosum,species,1,Eucheuma denticulatum,Yes,Eucheuma denticulatum,Yes,305493,Yes
25766,1,hibiscus esculentus,Abelmoschus esculentus,455045,hibiscus esculentus,species,1,Abelmoschus esculentus,Yes,Abelmoschus esculentus,Yes,455045,Yes
25898,1,phaseolus mungo,Vigna mungo,3915,phaseolus mungo,species,1,Vigna mungo,Yes,Vigna mungo,Yes,3915,Yes
25986,1,chorisia speciosa,Ceiba speciosa,82382,chorisia speciosa,species,1,Ceiba speciosa,Yes,Ceiba speciosa,Yes,82382,Yes
26018,1,hericium erinaceum,Hericium erinaceus,91752,hericium erinaceum,species,1,Hericium erinaceus,Yes,Hericium erinaceus,Yes,91752,Yes
26039,1,acanthopanax senticosus,Eleutherococcus senticosus,82096,acanthopanax senticosus,species,1,Eleutherococcus senticosus,Yes,Eleutherococcus senticosus,Yes,82096,Yes
26043,1,klebsiella pneumonia,Klebsiella pneumoniae,573,klebsiella pneumonia,species,1,Klebsiella pneumoniae,Yes,Klebsiella pneumoniae,Yes,573,Yes
26049,1,tricholoma giganteum,Macrocybe gigantea,1491104,tricholoma giganteum,species,1,Macrocybe gigantea,Yes,Macrocybe gigantea,Yes,1491104,Yes
26101,1,schefflera octophylla,Heptapleurum heptaphyllum,327218,schefflera octophylla,species,1,Heptapleurum heptaphyllum,Yes,Heptapleurum heptaphyllum,Yes,327218,Yes
26139,1,gigartina skottsbergii,Sarcopeltis skottsbergii,2765380,gigartina skottsbergii,species,1,Sarcopeltis skottsbergii,Yes,Sarcopeltis skottsbergii,Yes,2765380,Yes
26146,1,cimicifuga dahurica,Actaea dahurica,64029,cimicifuga dahurica,species,1,Actaea dahurica,Yes,Actaea dahurica,Yes,64029,Yes
26179,1,polygala senega,Senega officinalis,174549,polygala senega,species,1,Polygala senega,No,Senega officinalis,Yes,174549,Yes
